round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,3.3768,7.5772,59.9626,3.4536,6.5762,53.2359,3.5434,10.0000,50.3100
8,3.0502,18.7035,52.4973,3.1134,11.5462,62.1486,3.3432,10.0000,52.3300
12,2.5381,22.0273,81.5789,3.3971,13.2209,56.6105,3.3338,11.2700,56.7800
16,2.5250,18.8588,79.2070,3.3239,7.6923,52.0624,3.2690,11.2500,56.4700
20,2.4364,16.2651,65.6627,2.6411,14.7119,48.5597,2.4549,13.5800,61.9900
24,2.2530,20.8000,78.8000,2.2613,20.8251,82.3183,2.5360,16.0700,66.8900
28,2.2461,23.3918,84.4055,3.3907,5.8586,41.6162,3.1204,10.0000,58.0400
32,2.2269,16.2694,78.7565,2.4854,17.3203,62.6362,2.6684,10.0000,54.3500
36,2.4954,18.9637,74.5078,3.0325,11.8377,47.8016,2.8239,10.0500,57.6200
40,2.0710,22.9587,81.2680,2.4124,8.9783,70.4850,2.2470,16.9700,75.4500
44,2.2736,26.9481,79.3290,2.6105,15.9639,73.3936,2.9437,15.4900,60.2300
48,2.1275,31.1170,78.3688,3.1666,15.5534,47.8053,2.6848,16.0900,63.4600
52,1.9574,23.2422,79.2969,2.6954,15.1261,45.0630,2.2404,17.1400,67.2400
56,2.7349,15.2672,67.1756,3.0523,16.3784,57.1719,2.9396,14.4500,59.3400
60,2.5581,15.5047,64.4121,2.5137,17.8295,62.9014,2.4404,18.2300,65.1100
64,2.5279,14.5770,70.8461,2.7514,9.1667,84.6875,2.7708,12.5100,73.0600
68,1.8115,35.9457,89.3417,2.1203,22.4395,80.3538,2.6682,16.3300,67.6200
72,1.9658,22.6345,83.3024,1.8823,27.3764,87.8327,1.9565,23.4300,81.2500
76,1.9362,34.7698,79.4319,2.2907,12.1593,74.3187,2.2669,18.5100,75.3100
80,2.5914,23.9044,88.4462,2.9572,20.8217,74.4164,3.1033,16.5200,76.6700
84,1.9503,34.2026,91.7753,2.6896,19.4093,76.5823,2.6304,18.0900,77.1800
88,2.2612,27.1242,79.4118,2.4416,33.9560,66.9231,2.8778,17.8900,69.1600
92,1.8396,36.2756,87.7287,2.3677,21.4508,78.6528,2.4176,23.2600,78.1400
96,2.0311,22.9401,86.1423,2.0004,20.7182,84.2541,2.2596,16.9100,77.0000
100,2.6305,15.5996,82.4166,3.0964,11.5203,70.9160,2.8582,15.7200,74.7600
104,1.8902,33.3638,85.2834,2.2469,12.3656,78.7097,2.3174,15.6800,76.0100
108,2.2212,22.3022,76.3618,2.6119,9.6033,68.5804,2.4402,17.6400,67.4200
112,2.0126,22.9122,88.6510,2.2019,23.3539,77.5720,2.3936,19.9100,79.2400
116,2.3768,20.4331,73.9171,2.5167,17.2021,70.2591,2.5404,17.3200,74.3400
120,1.6845,35.2360,90.1207,1.9852,16.5524,85.3085,1.9297,22.8300,84.3900
124,2.1294,14.0281,81.2625,2.1192,20.9081,78.8807,2.4106,18.8700,74.1100
128,1.8712,35.2724,85.0416,2.0868,25.0529,79.9154,2.2410,19.6500,79.3300
132,1.5488,39.4033,94.6502,2.5319,21.5606,74.1273,2.6665,18.3000,75.5200
136,1.7406,32.0861,87.5585,1.8628,26.6187,84.4810,1.8732,27.5400,85.4900
140,1.8077,33.9585,91.5104,2.0172,26.8877,86.6483,2.1154,25.4100,81.4300
144,2.4957,25.2111,84.0772,2.8300,22.8963,67.6125,2.8610,18.1700,75.0900
148,2.0056,27.6939,91.8429,2.7317,9.3137,82.9412,2.7075,19.2400,77.6900
152,2.0300,29.5732,80.0813,2.1830,22.2222,82.1042,2.1428,23.7800,80.4800
156,2.0755,29.7787,80.9859,2.1485,23.9466,82.8366,2.2147,24.0800,82.5000
160,1.8177,35.2142,87.0428,2.3436,9.5443,79.7936,2.1025,23.8600,83.1700
164,1.9454,24.3550,93.0857,2.5839,18.2938,66.7299,2.2499,25.0800,75.8900
168,1.5701,41.8182,91.8182,2.2884,16.6000,84.7000,2.3971,20.3600,82.4100
172,2.2274,22.2342,75.7250,2.1289,23.9806,78.8350,1.9908,28.0600,83.1600
176,1.6895,40.8780,90.1463,2.6637,9.9778,75.0554,2.5380,21.4600,74.0600
180,2.1566,27.1091,84.2520,2.3310,22.3140,81.6116,2.2073,23.6700,84.3500
184,2.3978,36.2921,85.6180,2.5879,30.5048,87.0032,3.0917,20.6900,80.2000
188,2.0647,29.9204,88.8510,2.3242,18.3183,82.9830,2.5785,19.7300,79.4200
192,1.5130,42.6029,94.6607,2.6770,16.8299,74.7106,2.3816,25.3000,81.6900
196,1.5240,42.0997,93.8494,1.9334,27.9516,85.9738,1.8865,29.1900,84.8300
200,1.7706,35.1115,89.2338,2.5136,21.2524,73.0550,2.3806,23.4800,77.1000
204,1.9582,30.9142,87.5589,2.0024,28.0608,84.9866,2.1347,25.5000,85.5500
208,1.4673,49.5775,93.9906,2.4705,21.7092,84.6758,2.3085,26.5700,82.7200
212,1.6435,31.0577,92.4038,2.5651,15.2041,75.6122,2.1154,27.1600,83.3100
216,1.7645,37.9092,91.9747,2.2871,21.2150,77.4766,2.4589,23.0700,70.1800
220,1.6766,37.5113,89.4500,1.9215,28.6965,84.3385,1.8150,32.2800,87.4800
224,1.8248,31.7846,85.5333,2.5169,17.2009,65.5983,1.9177,29.9300,83.6200
228,2.0528,28.3566,89.0440,2.4019,16.3551,85.5140,2.3496,24.5400,82.8400
232,1.6399,38.5686,90.1590,1.7858,42.7765,83.8600,2.0007,31.4100,83.3200
236,2.2777,42.2662,84.7122,3.2204,15.7534,73.0594,2.7803,26.4500,78.5400
240,1.6273,38.2204,91.1021,1.8733,23.8475,86.8794,1.8268,31.5200,87.1500
244,1.7731,36.6760,87.0938,2.0214,35.7642,86.5135,2.1971,28.9400,83.4700
248,1.7771,38.8151,90.3984,1.8472,32.9437,89.5855,2.1727,26.7600,84.0900
252,1.7519,35.0187,88.7640,2.1190,23.0435,84.1304,1.9564,27.3800,87.5800
256,1.5452,44.8207,90.1394,1.8516,34.9016,85.8854,2.1413,26.5200,81.9100
260,1.6743,45.3908,91.0822,1.9418,23.4818,88.3603,2.1327,27.2000,85.3800
264,1.6583,41.6751,90.8174,1.8876,39.4531,83.0078,2.1749,27.2200,83.5200
268,1.5881,40.0191,90.5444,2.0716,24.9731,82.1313,1.8442,31.1500,86.0300
272,1.3965,45.8811,94.4734,1.8928,33.3998,89.3320,1.9434,32.8900,87.8000
276,2.1184,26.0649,88.8438,1.7805,43.7011,86.4466,2.2713,28.4200,83.6400
280,1.7433,39.5228,87.2407,1.7250,34.4828,88.9237,1.9769,30.5700,83.7300
284,2.3214,24.3496,94.1727,3.0237,17.5360,73.2014,3.2998,13.1900,74.3800
288,1.6592,37.7098,89.1412,1.9184,28.5305,86.9275,1.9036,30.5300,85.9400
292,2.0453,27.8571,88.8776,2.0463,27.0390,86.5248,2.4276,22.3800,80.2500
296,1.4956,41.9248,93.6947,1.5560,39.6534,91.2334,1.7466,33.9300,88.9200
300,1.9770,31.7601,84.8574,2.1048,27.7778,84.0038,2.1221,28.6800,84.7100
304,1.4238,42.7184,94.4660,1.8954,34.5339,82.9449,1.8903,33.8000,86.2100
308,1.8044,42.0956,88.4191,2.5309,14.3118,85.0501,2.2019,26.8400,86.6100
312,1.6638,41.2944,90.3373,1.9297,34.4724,83.2161,1.9738,29.0900,84.8500
316,1.5306,44.1624,91.3706,2.3216,25.9186,86.0973,2.4149,27.6400,84.6900
320,1.5789,45.5404,97.6915,2.7894,13.0515,84.5588,2.3181,23.6100,87.6200
324,2.1530,34.4048,91.9048,2.5956,16.1914,91.8534,2.6929,24.2700,82.3100
328,1.4845,45.6462,93.2172,2.0383,26.3158,87.7855,2.0125,29.7400,88.2300
332,1.5646,46.3170,90.1786,1.9414,23.4483,86.8966,1.8273,35.2000,87.0400
336,1.3001,51.5217,96.5217,1.5581,40.0211,93.0306,1.7414,35.8400,89.4800
