round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,12.3770,23.1638,58.1921,8.6816,31.7021,71.8085,14.5590,10.0000,50.0000
8,8.8101,31.2687,77.8222,15.1247,27.4545,47.0000,14.4769,10.0000,50.0000
12,7.8058,25.1894,74.1477,17.3119,0.0000,12.5633,12.0861,10.0000,50.0000
16,4.3009,18.3769,83.7687,10.2264,0.0000,48.0545,9.0887,10.0000,49.1100
20,3.4241,27.0115,44.5977,4.5288,0.0000,37.7127,4.8594,10.0000,50.0000
24,3.4244,34.1246,83.4817,5.8169,0.0000,37.7687,4.9487,10.0000,50.0000
28,2.4441,23.8734,72.1956,2.3467,40.0697,52.2648,3.8624,10.0000,50.2400
32,2.1497,17.4737,79.6842,3.2572,0.0000,32.3411,2.7391,10.0000,50.0000
36,2.1498,24.1063,69.9358,2.6273,7.6004,51.9001,2.7139,10.0000,50.0000
40,2.0889,31.1377,75.6487,2.1887,21.4582,67.4399,2.4386,10.0000,50.0000
44,1.9757,24.8366,86.9281,2.5506,10.9838,47.7555,2.5049,10.0000,50.3800
48,2.0523,23.4556,88.1274,2.4534,9.8712,39.8069,2.3836,10.5500,50.0000
52,2.1005,19.7471,83.0739,2.2830,13.3409,50.5131,2.4064,10.0000,52.4300
56,2.0117,26.9415,90.8917,2.7652,7.4306,22.1128,2.4315,10.0000,50.4300
60,1.9324,31.9606,87.9141,2.2634,28.1040,56.9631,2.5706,10.0000,50.0000
64,1.7369,43.3884,82.2314,2.3732,26.8059,76.5013,2.7105,10.0000,50.0100
68,1.9581,35.1077,85.9316,2.5533,9.5703,59.5703,2.5652,10.0000,51.1800
72,1.6405,43.7376,98.4095,2.7635,20.9945,52.5967,2.9067,10.0000,52.7200
76,1.9300,33.5358,87.1203,2.6310,20.7231,36.5079,2.6326,10.0000,50.7400
80,1.8234,36.9610,92.8131,2.7787,9.5006,48.1121,2.7319,10.0000,50.0200
84,1.7331,32.1701,96.2923,2.4599,9.0336,65.5462,2.6543,10.0600,50.0000
88,1.7302,28.2524,96.4078,2.2009,19.2350,69.8361,2.8367,10.0000,50.0000
92,1.7631,33.8852,95.0331,2.9834,11.9287,44.2586,2.8948,10.3200,55.0500
96,1.8949,27.0874,90.9709,2.5241,8.4449,47.5798,2.5243,10.0000,54.0200
100,1.7290,35.6250,97.9167,2.4998,21.3099,61.1926,2.7265,10.0000,53.5600
104,2.0191,24.7312,78.0645,2.4776,14.5192,39.9038,2.5224,10.0000,52.0200
108,1.8912,33.4746,90.4661,2.4357,20.7407,52.3457,2.6216,10.0000,51.5200
112,1.9719,25.3076,82.6889,2.5327,0.1172,53.4584,2.4746,10.0300,53.2800
116,1.7614,26.7589,100.0000,2.6486,0.0000,41.0733,2.5811,10.0000,50.2500
120,1.8927,29.2576,92.0306,2.3500,13.0435,51.8190,2.4618,13.1700,50.0000
124,1.6975,41.5957,92.5532,2.5437,10.2516,55.2656,2.7609,10.0000,50.0000
128,1.8815,37.4872,88.5598,2.7773,0.0000,58.6976,2.6630,10.0000,56.2900
132,2.0200,24.9750,81.7183,2.4615,0.0000,63.8140,2.4415,10.0000,54.1200
136,1.8571,30.9776,82.8033,2.4433,0.0000,74.0995,2.4691,10.0000,51.6300
140,2.0633,17.6796,79.0055,2.3546,8.0052,47.5066,2.2935,12.9000,59.5300
144,1.8576,37.0829,87.5119,2.7797,12.2060,28.4434,2.6900,10.0000,50.0600
148,1.6664,48.2270,81.3475,2.8994,14.8107,48.3296,2.9132,14.6000,55.5100
152,1.9466,33.0935,86.6393,2.7973,7.7434,21.3496,2.3744,13.8200,53.1900
156,1.9057,25.2915,93.6323,2.5380,15.9881,56.9017,2.4715,10.0000,53.6700
160,1.8884,32.4324,86.3964,2.4417,9.7731,58.3770,2.4225,16.3000,55.1000
164,2.0058,30.6897,89.6552,2.9886,7.3446,68.4557,3.0480,10.0000,50.0000
168,1.8978,31.8737,87.3727,2.5383,31.2815,35.6206,2.5436,10.0000,50.0000
172,1.9204,27.0541,90.7816,2.8559,8.2423,50.0497,2.6152,12.2400,51.4600
176,1.8774,35.3368,91.1917,2.6325,9.8672,67.7419,2.7978,10.0000,50.0000
180,2.0557,27.3446,75.8192,2.3661,7.4074,56.0494,2.3381,14.9800,51.0900
184,1.8914,26.6744,90.0693,2.2497,27.6642,69.7524,2.4589,11.5300,50.0000
188,1.5635,39.3425,100.0000,2.8030,22.9336,41.9092,2.6746,10.6700,50.0000
192,2.0177,27.1875,75.7292,2.7014,0.0000,66.9430,2.4393,10.8200,58.6600
196,1.8940,21.5402,89.5089,2.9582,0.4184,33.6820,2.4797,10.1600,51.2500
200,2.0094,25.6925,79.8472,2.3768,11.5034,51.8223,2.3141,13.6200,57.2500
204,2.0399,22.2334,84.9095,2.4644,9.0379,50.4373,2.3076,11.8700,61.1000
208,1.7820,32.2453,93.5707,2.7234,4.4790,48.6289,2.4598,13.9300,54.2600
212,1.8796,30.0303,93.3266,2.3039,25.3807,62.8716,2.3245,15.6800,55.3600
216,1.6635,39.1784,95.3908,2.0735,27.1186,82.8390,2.3556,14.9600,60.6800
220,1.8240,31.1330,92.7094,2.5657,5.9230,68.6081,2.5460,10.0700,61.2500
224,1.7952,36.0814,91.2206,2.1148,16.3620,73.5832,2.2721,18.3600,65.8100
228,1.9454,24.4087,85.8089,2.7729,0.0929,42.8041,2.4913,10.0400,52.9000
232,1.8125,38.3874,92.1122,2.4265,6.9224,51.7098,2.3650,14.8100,59.0100
236,1.3802,47.0522,99.7732,2.4667,26.5306,57.2449,3.1054,10.0000,55.7900
240,2.0143,34.7959,73.3673,2.3999,4.9283,63.4409,2.2759,14.1200,60.9800
244,1.9480,25.8515,85.5895,2.5055,4.0241,49.7988,2.2819,14.2700,63.7400
248,1.6580,41.5399,95.2471,2.4573,8.3170,62.3288,2.3942,15.7800,57.9800
252,1.5508,37.2328,94.4882,2.9898,2.1916,41.3961,2.7169,11.1400,54.1300
256,1.7734,34.5103,96.0137,2.1045,36.2500,62.5000,2.2793,15.5600,58.1700
260,1.8933,29.0289,88.9463,2.2812,17.7543,69.5777,2.2832,15.0100,65.2100
264,1.9558,26.4267,85.0746,2.0572,19.9527,73.1073,2.2149,18.0800,64.1800
268,1.6018,40.5847,89.2519,3.0333,0.0000,48.4950,2.7348,10.0000,55.8100
272,1.7688,29.8130,90.8691,2.2297,4.2857,74.3878,2.4080,11.0500,57.6500
276,1.6207,42.8571,91.5033,2.6052,11.1233,70.3744,2.4685,14.3400,62.2500
280,1.7757,40.1491,87.8594,1.9364,37.2351,84.2583,2.2654,16.6000,64.8000
284,1.9807,27.2819,78.7018,1.9482,26.4169,81.8444,2.1482,16.4200,73.9800
288,1.7398,31.5401,92.6160,2.5890,0.3178,61.8644,2.4690,11.3500,60.9100
292,1.9517,29.0237,80.7388,2.4557,15.4321,55.1852,2.2690,16.6900,64.5200
296,1.9106,30.5977,85.1918,2.2103,24.6575,64.3836,2.1779,15.8900,69.7700
300,2.0013,26.0077,78.5988,2.1136,17.2304,69.8731,2.2187,15.1700,69.2900
304,1.9004,27.4005,83.6066,2.6160,7.7745,66.6667,2.6460,11.5200,63.8100
308,1.8970,25.2376,87.6452,2.3344,9.7239,66.2665,2.2085,15.4300,71.9200
