round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,2.2262,18.1478,76.0524,2.2723,12.0042,64.7182,2.3163,10.0000,50.0000
8,2.3015,6.1637,57.3858,2.3278,7.1285,48.7952,2.3110,9.2300,51.2600
12,2.1265,18.8109,78.9474,2.4713,6.8323,42.9459,2.3639,10.0000,50.0000
16,2.1241,21.0832,70.1161,2.5498,13.6009,36.7893,2.3857,11.7700,51.0600
20,2.2406,12.6506,70.4819,2.3572,5.8642,45.0617,2.2587,13.0500,61.9500
24,2.1064,18.2000,78.2000,2.2641,11.1984,61.3949,2.2840,11.7200,61.4100
28,2.0617,20.6628,87.0370,2.3600,7.1717,42.9293,2.2399,12.5100,61.6400
32,2.0638,24.8705,78.8601,2.2626,12.3094,70.6972,2.2957,10.8500,66.9600
36,2.1199,19.5855,76.1658,2.3000,9.3574,58.2864,2.1873,14.7800,69.0100
40,2.1427,23.4390,76.1768,2.1945,19.0918,63.8803,2.1399,20.6600,72.9600
44,1.9265,28.4632,86.2554,2.0489,24.3976,79.8193,2.2106,18.2500,65.4700
48,1.9638,32.1809,82.7128,2.2756,17.5573,59.6374,2.2117,19.7700,63.5300
52,1.9042,33.0078,85.9375,2.5426,5.0420,48.4244,2.3153,15.5300,67.0800
56,2.0866,21.2786,73.9504,2.2999,18.5148,54.9339,2.1635,18.7000,68.1000
60,2.0380,25.9105,77.9396,2.1123,18.0509,75.0831,2.2023,16.7200,71.7200
64,1.8932,34.2508,81.7533,2.2103,27.1875,62.3958,2.2530,17.7600,66.6600
68,1.7417,40.8568,90.5956,2.0150,17.9702,82.4953,2.2889,17.5600,65.5700
72,2.0332,23.5622,79.4063,1.9233,33.3650,86.8821,2.1265,18.9600,70.1200
76,1.8974,37.0225,81.9785,2.1579,17.1908,70.6499,2.1705,20.3200,67.9400
80,1.7917,34.4622,91.9323,2.2365,8.2166,74.0430,2.2187,16.6300,70.3700
84,1.8062,35.1053,89.6690,2.2646,15.8228,67.9325,2.1837,17.2900,70.8500
88,1.7789,42.8105,84.6405,2.4493,11.9780,79.0110,2.4678,15.3200,73.2800
92,1.8036,36.9214,86.7600,2.3673,13.1606,63.6269,2.2389,15.8200,70.5800
96,1.9501,31.8352,84.4569,2.1450,15.2855,75.5985,2.1072,20.1500,72.1900
100,2.0318,22.0018,80.8837,2.2135,14.0699,58.8291,2.0851,20.3300,74.1400
104,1.9023,34.0951,83.1810,2.1353,14.0860,73.9785,2.0824,21.5300,75.6700
108,2.0130,23.9466,78.7256,2.1386,21.6075,70.0418,2.0821,19.6100,76.9300
112,1.9124,30.5139,87.1520,2.0948,19.5473,76.3374,2.1187,20.3600,75.9100
116,2.0364,21.5631,81.8267,2.1061,16.5803,73.8860,2.1008,18.7300,76.8300
120,1.8601,33.5895,86.8277,2.1300,15.1812,73.8492,2.0935,20.2500,73.8600
124,1.9940,28.2565,82.1643,2.0947,22.3865,73.0729,2.1167,20.1800,74.9500
128,1.8850,30.4709,85.4109,2.0218,30.2326,76.1099,2.0808,18.2200,77.8400
132,1.7360,30.4527,93.4156,2.2615,18.1725,72.1766,2.3409,10.3400,73.3300
136,1.8736,31.7119,82.8812,2.0926,26.0021,70.0925,2.1061,21.2300,76.1200
140,1.8942,29.4176,89.4373,2.0082,18.7845,81.8600,1.9983,23.4400,80.8900
144,1.7578,38.2388,88.7817,1.9006,30.7241,80.6262,2.1093,23.4900,75.8000
148,1.6932,41.9940,90.7351,2.1078,16.3725,78.0392,2.0986,21.1000,76.1100
152,1.7784,36.0772,87.0935,2.1209,18.2891,80.7276,2.0837,21.6600,80.6500
156,1.8624,25.1509,87.4245,1.8822,28.4687,84.7893,2.0403,19.2300,81.0300
160,1.8796,35.8412,83.0721,2.0573,14.8753,79.3637,1.9790,23.7400,80.5600
164,1.6937,36.9453,93.6017,2.1892,19.3365,71.4692,2.1659,18.8400,76.8200
168,1.7070,37.7273,89.8182,2.1443,11.0000,80.0000,2.0784,18.6600,79.7500
172,1.9356,26.3158,84.4253,1.9359,30.0000,84.9515,1.9862,25.7400,81.2000
176,1.7571,35.9024,89.4634,2.1688,11.7517,68.9579,2.0344,22.8200,75.1800
180,1.8452,34.1957,85.1519,1.9360,26.4463,84.4008,1.9760,24.2800,82.5800
184,1.7720,37.4157,88.2022,1.9417,31.0419,84.6402,2.0432,22.6300,80.8500
188,1.7202,38.9078,91.5813,1.9089,33.5335,83.4835,2.0109,25.0100,79.1300
192,1.5334,42.7141,93.5484,2.4605,16.8299,66.1621,2.2119,20.9400,75.5700
196,1.7906,35.5249,87.3807,2.0578,23.5116,73.8648,1.9387,26.9100,80.0300
200,1.7304,35.7905,89.8157,1.8424,36.7173,81.7837,1.9273,25.3300,83.0400
204,1.7898,35.4383,87.2762,1.8889,32.3503,80.9651,1.9325,25.4700,82.3200
208,1.5726,44.9765,92.1127,2.3094,10.4126,82.3183,2.2414,16.6600,77.3200
212,1.6461,37.8846,90.8654,2.1676,23.0612,72.4490,2.0341,23.3800,78.1100
216,1.7280,42.4498,90.3907,1.9890,20.0000,80.6542,2.0007,21.6100,82.8800
220,1.7232,39.4950,89.4500,2.0445,19.7471,79.4747,1.9223,25.7600,84.5200
224,1.8715,29.5671,87.1172,2.0124,25.2137,78.9530,1.8641,30.6600,85.9600
228,1.6367,44.3609,90.6552,1.7778,38.1308,83.9252,1.8957,28.8800,83.0900
232,1.6927,36.8787,90.7555,2.0354,14.5598,82.2799,1.9673,19.6100,84.9300
236,1.7413,40.1079,89.0288,2.1468,17.0091,75.0000,1.9898,22.5200,82.3400
240,1.6717,40.3438,91.5066,1.8839,22.0745,82.2695,1.8673,28.1600,83.0500
244,1.8360,34.1690,86.6295,1.7683,39.0609,86.1139,1.8517,30.3900,85.3800
248,1.6731,40.2451,91.4198,1.7982,32.0935,90.4357,1.8234,31.7300,85.7300
252,1.7265,42.2285,89.9813,1.8810,30.9783,84.3478,1.8348,32.2100,86.1500
256,1.6744,39.3426,91.2351,1.9197,25.4063,82.2926,1.8561,27.1700,85.6000
260,1.6535,45.7916,88.3768,1.9884,21.9636,82.3887,1.8670,28.8000,83.0900
264,1.7859,36.3269,86.1756,1.8180,38.6719,87.6953,1.8667,30.9500,84.5400
268,1.6858,38.3954,90.6399,1.9977,23.4661,77.6103,1.8591,28.9700,83.4400
272,1.5233,42.9614,92.3879,1.8852,32.0040,83.0508,1.9276,26.6800,84.0300
276,1.7001,38.7424,91.8864,1.7906,26.5856,88.6186,1.8056,30.0000,87.3000
280,1.6747,40.9751,88.4855,1.8402,27.7952,88.9237,1.8604,27.6200,85.7300
284,1.5355,42.9761,94.5890,1.8365,33.6331,83.5432,1.9627,28.6400,80.8900
288,1.5748,41.0661,91.6091,1.8126,33.5878,86.9275,1.8744,27.9500,86.2300
292,1.5239,44.5918,93.2653,2.1361,16.9326,76.3298,1.8854,25.3800,84.5200
296,1.6488,37.0575,92.3673,1.7908,27.6249,88.1753,1.7916,30.2500,87.7700
300,1.6802,43.4612,91.0521,1.7424,37.7395,89.3678,1.7886,34.2200,87.5500
304,1.5666,42.4272,92.8155,2.0834,20.9746,77.1186,1.8978,26.7700,82.1200
308,1.5567,46.2316,90.8088,1.9467,21.6955,86.3263,1.8267,29.2800,87.7900
312,1.5721,41.7502,92.7985,1.7732,31.4573,85.6281,1.8033,31.0400,83.5100
316,1.3717,44.1624,96.2437,1.9562,33.8630,83.1182,1.9835,27.6800,81.4100
320,1.3985,50.8919,94.9633,2.2739,18.8419,84.2831,1.9434,25.3100,87.2000
324,1.5786,44.1667,92.0238,1.8074,30.2444,89.8167,1.8235,32.1300,85.0300
328,1.5804,44.3630,91.1091,1.7351,34.1609,86.5938,1.7413,34.1100,88.7900
332,1.5787,43.4152,90.6250,2.0899,15.0739,82.5616,1.8242,28.9600,86.3100
336,1.4394,49.0217,95.4348,1.5948,38.7540,92.7138,1.8069,30.8700,87.7000
340,1.4188,47.8122,95.6243,1.8597,33.6782,83.7931,1.8206,34.5000,84.9800
344,1.6322,38.5659,92.3450,1.7471,30.8213,89.5652,1.8181,27.3500,88.3300
348,1.5933,43.1120,90.5847,1.6773,38.5811,87.7551,1.7314,34.6800,87.8400
352,1.6500,39.3474,89.4434,1.8954,20.2429,88.8664,1.7161,33.5000,89.5500
356,1.6243,41.9718,90.3286,1.8484,24.5047,88.0083,1.7322,32.9600,89.7300
360,1.6118,40.3272,93.8402,1.6967,38.4768,90.1088,1.7514,34.4100,88.3900
364,1.5229,48.0715,92.1919,1.8027,28.3976,87.3225,1.7971,31.9400,86.3900
368,1.6533,40.4517,90.3491,1.5353,43.7811,92.1393,1.7220,34.3100,88.4300
372,1.6289,41.2237,92.4774,1.8741,23.4043,85.6130,1.7764,30.3700,89.6800
376,1.5065,47.5814,92.9911,1.7349,34.8643,87.4739,1.7552,32.9700,88.4300
