round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
1,2.3039,9.7820,49.0060,2.3039,9.7860,48.9360,2.3036,9.4000,49.6900
2,2.3032,11.4840,49.9820,2.3032,11.5740,50.0240,2.3030,12.1900,50.0300
3,2.3027,10.3600,50.0040,2.3027,10.3480,50.0160,2.3025,10.6400,50.0300
4,2.3019,11.4880,51.8400,2.3019,11.3860,51.7660,2.3017,14.0100,52.0200
5,2.3018,15.0120,50.0140,2.3018,15.3060,50.0180,2.3017,12.6400,50.0100
6,2.3019,10.4120,50.2300,2.3019,10.4340,50.1160,2.3020,10.2600,49.9800
7,2.2973,10.0020,50.4660,2.2973,10.0020,50.4860,2.2959,10.0400,52.1100
8,2.3015,9.9160,50.0640,2.3015,9.9260,50.0860,2.3017,9.8500,50.0100
9,2.3009,10.0580,54.0260,2.3009,10.0420,54.0980,2.3011,10.0100,53.8500
10,2.2979,13.1080,59.9000,2.2979,13.1080,60.0620,2.2981,12.6100,58.8000
11,2.2958,11.5860,59.7020,2.2958,11.6080,59.5840,2.2959,12.5100,61.4100
12,2.2935,10.0000,52.8080,2.2935,10.0000,52.7320,2.2896,9.9800,56.4400
13,2.3007,10.1760,52.5000,2.3007,10.1880,52.5680,2.3009,10.2500,52.9500
14,3.0614,10.0000,50.0000,3.0598,10.0000,50.0020,2.8421,10.0000,50.0600
15,2.2945,13.6740,64.8260,2.2945,13.7620,65.0080,2.2948,13.8700,64.2100
16,2.2897,15.1960,56.0820,2.2897,15.1280,56.0960,2.2854,16.2100,59.5100
17,2.3029,9.8360,50.5020,2.3029,9.8360,50.4660,2.3029,9.9200,50.4700
18,2.3013,9.9220,50.0760,2.3013,9.9160,50.0980,2.3013,9.9500,50.0900
19,2.2933,15.8300,52.4380,2.2934,15.7960,52.4920,2.2931,16.2600,53.1600
20,2.2829,15.3600,60.8140,2.2829,15.3220,60.6120,2.2823,16.1500,60.8900
