round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
1,2.3126,10.0020,50.0180,2.3127,10.0020,50.0320,2.3117,9.9900,50.1000
2,2.3047,10.0000,50.0220,2.3048,10.0000,50.0120,2.3034,10.0000,50.4800
3,2.3088,10.0040,50.0720,2.3087,10.0020,50.0480,2.3081,10.0000,50.0400
4,2.3019,10.0000,50.4440,2.3019,10.0000,50.3860,2.3008,10.0000,52.3100
5,2.3053,9.9960,50.5760,2.3053,9.9980,50.6760,2.3048,10.0100,51.1400
6,2.2997,9.9980,52.2620,2.2998,10.0020,52.2140,2.2988,10.0000,55.2700
7,2.3026,9.9980,52.5380,2.3026,10.0020,52.6020,2.3022,10.0400,53.7000
8,2.2981,10.0720,56.2020,2.2981,10.1020,55.9920,2.2972,10.1300,57.7200
9,2.3002,9.9860,53.5360,2.3001,10.0040,53.7640,2.2996,10.0700,55.7500
10,2.2963,11.0600,58.1780,2.2962,11.0920,58.2020,2.2955,11.4300,58.5300
11,2.2980,10.1400,55.4960,2.2979,10.1700,55.7560,2.2974,10.8400,58.0100
12,2.2948,14.2200,58.9840,2.2948,14.2040,58.7280,2.2939,14.4200,59.2800
13,2.2956,12.0960,57.5700,2.2956,12.0600,57.5860,2.2950,14.1700,60.0000
14,2.2934,16.6460,59.6840,2.2934,16.7540,59.6540,2.2927,17.0600,60.0200
15,2.2939,13.4140,59.6760,2.2939,13.3980,60.1220,2.2932,14.9400,62.3800
16,2.2917,17.2760,61.1160,2.2917,17.1940,61.2560,2.2909,18.1800,61.4500
17,2.2923,14.9580,60.8180,2.2922,15.1460,60.8260,2.2914,16.0700,62.9400
18,2.2900,18.8280,63.8740,2.2901,19.0200,63.7900,2.2889,20.0800,64.4300
19,2.2902,15.5100,63.7200,2.2903,15.4680,63.6480,2.2893,17.1500,65.3300
20,2.2882,20.4440,66.4560,2.2882,20.4740,66.5700,2.2870,22.1900,67.4600
21,2.2885,15.8760,66.1900,2.2885,15.8480,66.1940,2.2872,17.4000,68.8900
22,2.2866,20.9220,67.0200,2.2865,21.1180,67.1280,2.2852,22.9900,68.1100
23,2.2864,16.7440,65.5080,2.2866,16.4360,65.6340,2.2851,17.9600,68.4100
24,2.2843,20.8480,67.5080,2.2841,20.8120,67.6360,2.2825,23.5200,69.4300
25,2.2843,16.3120,65.9420,2.2844,16.6020,65.8100,2.2828,18.0300,68.7200
26,2.2822,21.0820,68.0260,2.2822,20.7780,68.1160,2.2804,23.3800,69.4900
27,2.2818,16.9580,66.6940,2.2819,17.0280,66.4760,2.2800,18.8800,69.4700
28,2.2790,20.2000,67.7640,2.2793,20.2940,67.4380,2.2770,22.4300,69.0800
29,2.2795,16.4720,65.3260,2.2795,16.5000,65.3600,2.2775,17.5100,67.8200
30,2.2767,19.3300,67.3740,2.2766,19.4640,67.4820,2.2741,21.9600,69.1200
31,2.2764,16.2880,63.7100,2.2766,16.0420,63.6260,2.2743,17.1500,65.8400
32,2.2736,17.1540,66.7680,2.2738,17.1720,66.5940,2.2703,20.9200,69.5100
33,2.2733,15.9240,62.5920,2.2732,15.8380,62.5740,2.2708,16.4400,64.6800
34,2.2707,15.3880,64.7820,2.2706,15.2220,64.7980,2.2661,18.2600,67.1400
35,2.2721,14.8760,59.6220,2.2719,14.6980,59.5080,2.2689,14.5500,61.5000
36,2.2724,12.4440,62.3680,2.2724,12.3300,62.3180,2.2651,14.2000,65.8800
37,2.2798,11.4440,57.4140,2.2798,11.4340,57.6600,2.2747,11.2600,58.7300
38,2.2977,11.5880,55.3700,2.2973,11.6140,55.3760,2.2806,11.9200,57.7700
39,2.3232,11.3460,53.0540,2.3229,11.3540,53.0640,2.3095,12.3700,53.3600
40,2.3638,10.9160,49.9980,2.3632,10.7660,50.0000,2.3293,11.4500,50.0100
41,2.3191,11.3700,50.4520,2.3192,11.4220,50.3400,2.3061,12.2300,50.2300
42,2.3132,13.0220,50.7360,2.3130,12.9780,50.7480,2.2934,14.4700,51.0500
43,2.2764,13.4440,50.2300,2.2763,13.3760,50.2340,2.2716,14.1600,50.1600
44,2.2751,13.9200,53.5700,2.2751,14.0460,53.5000,2.2645,17.2500,57.5600
45,2.2570,15.2380,57.7660,2.2572,15.3160,57.6560,2.2552,15.5400,57.0000
46,2.2536,19.1080,64.3440,2.2539,19.1140,64.3480,2.2472,22.7500,70.3500
47,2.2415,19.7860,66.8160,2.2416,19.6020,66.9600,2.2401,20.7500,66.0800
48,2.2436,19.2160,64.6440,2.2440,19.1160,64.4840,2.2340,22.8100,70.8900
49,2.2413,15.5520,59.8560,2.2413,15.6460,59.8320,2.2402,16.7300,58.9200
50,2.2753,12.7500,54.8060,2.2755,12.8360,54.7300,2.2477,16.4700,60.6200
51,2.2693,12.9780,52.4380,2.2693,12.7360,52.5440,2.2645,12.6000,52.2500
52,2.3348,11.7560,52.4960,2.3349,11.7300,52.4440,2.2884,12.6800,53.9700
53,2.2487,15.0960,55.3960,2.2487,15.0520,55.5020,2.2467,15.4000,55.4000
54,2.2686,14.7680,56.1500,2.2685,14.7580,56.1700,2.2403,18.7700,62.0300
55,2.2258,16.4480,62.7820,2.2260,16.6240,62.7160,2.2266,17.0300,62.6500
56,2.2710,13.9520,57.4600,2.2713,13.9880,57.4920,2.2321,17.8800,63.7800
57,2.2413,13.0000,57.3280,2.2414,12.9740,57.3200,2.2415,12.2700,57.0300
58,2.3000,12.5380,55.8220,2.2991,12.7760,55.7500,2.2491,15.8200,62.0000
59,2.2224,16.6540,60.1980,2.2227,16.5200,59.9460,2.2242,15.9300,59.8200
60,2.2689,14.9860,58.9960,2.2687,14.9600,59.0620,2.2265,18.8700,65.5700
61,2.1945,20.0420,67.5460,2.1947,20.0180,67.7060,2.1975,21.1500,66.9100
62,2.2042,19.6260,67.0440,2.2041,19.7540,67.2440,2.1769,22.6700,71.8100
63,2.1818,21.0920,69.7380,2.1817,20.9860,69.9000,2.1874,20.7200,69.4300
64,2.2954,14.6760,59.1620,2.2953,14.5080,59.0580,2.2240,18.2700,65.0800
65,2.2201,16.8740,61.1920,2.2212,16.8280,61.1060,2.2241,16.5500,59.7400
66,2.2590,17.4400,60.8580,2.2598,17.3560,60.8000,2.2071,20.7100,66.9700
67,2.1828,19.5880,67.6340,2.1839,19.4340,67.4620,2.1898,20.1000,66.2800
68,2.2257,17.5940,64.9080,2.2269,17.6460,64.6500,2.1728,20.8100,69.7700
69,2.1727,18.1240,67.1440,2.1730,17.9700,67.2540,2.1800,17.0400,66.4200
70,2.2687,16.3020,61.7960,2.2682,16.3180,61.8640,2.2006,19.8000,67.6600
71,2.1631,17.9160,67.5220,2.1632,18.0580,67.5700,2.1683,17.8100,67.0800
72,2.1769,20.1540,70.8360,2.1771,20.2600,70.8360,2.1461,22.7400,75.0400
73,2.1537,20.9620,71.6920,2.1535,21.0000,71.6200,2.1599,20.9600,71.1600
74,2.1739,20.5280,70.1500,2.1742,20.5660,69.9060,2.1373,23.2700,74.3600
75,2.1371,21.8500,71.6640,2.1372,21.9060,71.6140,2.1425,22.2100,70.9300
76,2.2184,19.8900,66.6980,2.2183,19.8020,66.5160,2.1586,23.0200,71.3600
77,2.1704,16.6720,68.0260,2.1703,16.6840,68.1000,2.1761,16.7600,67.0200
78,2.2075,19.8420,66.4140,2.2070,19.8980,66.4340,2.1533,23.1100,72.2900
79,2.1461,20.8740,71.9920,2.1460,20.7980,71.6900,2.1493,21.0200,71.0700
80,2.1566,22.0880,71.0380,2.1571,22.1340,70.8140,2.1181,25.1500,74.9300
81,2.1013,23.2200,75.3280,2.1016,23.0580,75.0920,2.1037,23.5400,75.4300
82,2.1526,21.2000,71.3700,2.1525,21.3100,71.3000,2.1067,23.6400,75.1400
83,2.1369,20.6920,72.4700,2.1386,20.5300,72.3480,2.1443,20.5500,71.9400
84,2.2274,19.0800,66.6900,2.2274,19.1720,66.6620,2.1529,22.4700,72.4100
85,2.1411,18.2000,71.5000,2.1410,18.1360,71.4480,2.1472,17.5100,70.8600
86,2.1565,22.3080,71.3840,2.1566,22.1160,71.3880,2.1119,25.3800,75.4800
87,2.0887,23.3260,75.6060,2.0877,23.1900,75.7380,2.0923,23.7500,75.2400
88,2.1516,20.5960,70.9580,2.1512,20.8800,70.9160,2.0971,23.7600,74.5400
89,2.1559,17.9600,70.7480,2.1554,18.0440,70.7560,2.1657,17.2100,70.0000
90,2.2456,19.1820,63.8760,2.2464,19.3680,63.7740,2.1903,22.8000,67.7900
91,2.1343,21.3880,75.0580,2.1341,21.5140,74.9000,2.1368,21.5500,74.5400
92,2.0677,23.7460,76.5440,2.0672,24.0560,76.4560,2.0606,24.8100,76.9000
93,2.0521,24.5400,75.4000,2.0519,24.6680,75.2860,2.0357,26.0600,76.2500
94,2.0489,24.4220,76.7100,2.0495,24.3260,76.4920,2.0352,25.6400,77.3000
95,2.0428,24.1720,76.0840,2.0423,24.4340,76.0040,2.0262,25.5900,77.0700
96,2.0393,24.7580,76.7560,2.0391,24.6700,76.8300,2.0186,26.7600,78.1400
97,2.0398,24.3840,76.7060,2.0375,24.4360,77.0060,2.0168,26.0000,78.0900
98,2.0375,24.5940,78.4700,2.0383,24.5980,78.2660,2.0270,25.8500,78.8000
99,2.0608,23.5800,76.7280,2.0593,23.5020,76.6940,2.0261,25.1600,78.8100
