round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
4,2.2589,18.1478,76.0524,2.3075,10.0000,50.0000
8,2.2216,17.0442,70.0108,2.3942,10.0000,50.3500
12,2.0967,24.1311,76.6634,2.3446,10.0000,49.9800
16,2.1546,17.7734,80.5664,2.3420,10.0000,50.0000
20,2.1845,23.6343,74.8049,2.3043,10.0000,53.7100
24,2.2198,16.0643,66.2651,2.2827,10.0000,57.6000
28,2.1840,25.9259,71.9577,2.2667,15.3500,61.4500
32,2.1316,21.2590,73.4778,2.2461,16.0700,63.5500
36,2.0550,27.5148,80.1775,2.1977,15.0500,70.0500
40,2.0608,28.3224,80.9368,2.2273,16.0600,66.9100
44,2.0801,20.0000,80.3109,2.2230,16.7200,63.4800
48,1.8668,33.4711,86.0537,2.2916,12.6800,63.4500
52,2.0442,25.1765,86.8235,2.1808,16.2400,71.3300
56,1.7163,42.8964,85.5179,2.2559,14.6400,67.4700
60,1.9319,32.3473,84.0649,2.1284,20.5400,73.1900
64,1.8456,35.2539,85.0586,2.2108,16.2100,69.2200
68,1.8617,39.5274,87.9699,2.0782,23.6900,76.8200
72,1.9272,29.9825,86.1014,2.0999,20.6100,75.7000
76,1.8234,30.0760,86.8621,2.0812,19.2300,76.3100
80,1.8100,30.1042,92.0833,2.0996,17.8400,77.1000
84,1.6577,45.3501,92.4765,2.1867,18.5700,76.6000
88,1.7805,37.0229,85.9733,2.1184,16.2800,78.4500
92,1.8177,31.6946,87.0293,2.0745,19.4100,76.9200
96,1.8626,28.5714,90.2439,2.0217,19.3600,79.8300
100,1.6154,44.4444,91.2232,2.1460,19.5700,73.5400
104,1.6710,39.0171,92.3771,2.0510,21.0300,80.4700
108,1.8288,33.9655,88.2759,1.9357,24.5900,82.9100
112,1.5865,41.8919,91.9958,2.0740,17.5900,80.3700
116,1.5785,39.2315,93.4277,2.0689,21.0400,81.2700
120,1.8336,29.4659,88.1215,1.9586,22.6400,81.5200
124,1.8585,34.5356,88.2777,1.9086,26.7200,86.5400
128,1.5596,46.5863,91.3655,2.0056,23.7300,82.7000
132,1.6452,42.4374,92.2742,2.0801,21.4100,75.8900
