round,distance
0,10.0000
1,9.4159
2,8.8660
3,8.3482
4,7.8606
5,7.4015
6,6.9692
7,6.5622
8,6.1789
9,5.8180
10,5.4782
11,5.1582
12,4.8570
13,4.5733
14,4.3062
15,4.0547
16,3.8179
17,3.5949
18,3.3849
19,3.1872
20,3.0011
21,2.8258
22,2.6608
23,2.5054
24,2.3590
25,2.2212
26,2.0915
27,1.9694
28,1.8543
29,1.7460
30,1.6441
31,1.5480
32,1.4576
33,1.3725
34,1.2923
35,1.2168
36,1.1458
37,1.0789
38,1.0158
39,0.9565
40,0.9006
41,0.8480
42,0.7985
43,0.7519
44,0.7080
45,0.6666
46,0.6277
47,0.5910
48,0.5565
49,0.5240
50,0.4934
51,0.4646
52,0.4374
53,0.4119
54,0.3878
55,0.3652
56,0.3439
57,0.3238
58,0.3049
59,0.2871
60,0.2703
61,0.2545
62,0.2396
63,0.2256
64,0.2125
65,0.2001
66,0.1884
67,0.1774
68,0.1670
69,0.1573
70,0.1481
71,0.1394
72,0.1313
73,0.1236
74,0.1164
75,0.1096
76,0.1032
77,0.0972
78,0.0915
79,0.0861
80,0.0811
81,0.0764
82,0.0719
83,0.0677
84,0.0638
85,0.0600
86,0.0565
87,0.0532
88,0.0501
89,0.0472
90,0.0444
91,0.0418
92,0.0394
93,0.0371
94,0.0349
95,0.0329
96,0.0310
97,0.0292
98,0.0275
99,0.0259
100,0.0243
101,0.0229
102,0.0216
103,0.0203
104,0.0191
105,0.0180
106,0.0170
107,0.0160
108,0.0150
109,0.0142
110,0.0133
111,0.0126
112,0.0118
113,0.0111
114,0.0105
115,0.0099
116,0.0093
117,0.0088
118,0.0082
119,0.0078
120,0.0073
121,0.0069
122,0.0065
123,0.0061
124,0.0057
125,0.0054
126,0.0051
127,0.0048
128,0.0045
129,0.0043
130,0.0040
131,0.0038
132,0.0035
133,0.0033
134,0.0031
135,0.0030
136,0.0028
137,0.0026
138,0.0025
139,0.0023
140,0.0022
141,0.0021
142,0.0019
143,0.0018
144,0.0017
145,0.0016
146,0.0015
147,0.0014
148,0.0014
149,0.0013
150,0.0012
151,0.0011
152,0.0011
153,0.0010
154,0.0009
155,0.0009
156,0.0008
157,0.0008
158,0.0007
159,0.0007
160,0.0007
161,0.0006
162,0.0006
163,0.0005
164,0.0005
165,0.0005
166,0.0005
167,0.0004
168,0.0004
169,0.0004
170,0.0004
171,0.0003
172,0.0003
173,0.0003
174,0.0003
175,0.0003
176,0.0003
177,0.0002
178,0.0002
179,0.0002
180,0.0002
181,0.0002
182,0.0002
183,0.0002
184,0.0002
185,0.0001
186,0.0001
187,0.0001
188,0.0001
189,0.0001
190,0.0001
191,0.0001
192,0.0001
193,0.0001
194,0.0001
195,0.0001
196,0.0001
197,0.0001
198,0.0001
199,0.0001
200,0.0001
201,0.0001
202,0.0001
203,0.0000
204,0.0000
205,0.0000
206,0.0000
207,0.0000
208,0.0000
209,0.0000
210,0.0000
211,0.0000
212,0.0000
213,0.0000
214,0.0000
215,0.0000
216,0.0000
217,0.0000
218,0.0000
219,0.0000
220,0.0000
221,0.0000
222,0.0000
223,0.0000
224,0.0000
225,0.0000
226,0.0000
227,0.0000
228,0.0000
229,0.0000
230,0.0000
231,0.0000
232,0.0000
233,0.0000
234,0.0000
235,0.0000
236,0.0000
237,0.0000
238,0.0000
239,0.0000
240,0.0000
241,0.0000
242,0.0000
243,0.0000
244,0.0000
245,0.0000
246,0.0000
247,0.0000
248,0.0000
249,0.0000
250,0.0000
251,0.0000
252,0.0000
253,0.0000
254,0.0000
255,0.0000
256,0.0000
257,0.0000
258,0.0000
259,0.0000
260,0.0000
261,0.0000
262,0.0000
263,0.0000
264,0.0000
265,0.0000
266,0.0000
267,0.0000
268,0.0000
269,0.0000
270,0.0000
271,0.0000
272,0.0000
273,0.0000
274,0.0000
275,0.0000
276,0.0000
277,0.0000
278,0.0000
279,0.0000
280,0.0000
281,0.0000
282,0.0000
283,0.0000
284,0.0000
285,0.0000
286,0.0000
287,0.0000
288,0.0000
289,0.0000
290,0.0000
291,0.0000
292,0.0000
293,0.0000
294,0.0000
295,0.0000
296,0.0000
297,0.0000
298,0.0000
299,0.0000
300,0.0000
301,0.0000
302,0.0000
303,0.0000
304,0.0000
305,0.0000
306,0.0000
307,0.0000
308,0.0000
309,0.0000
310,0.0000
311,0.0000
312,0.0000
313,0.0000
314,0.0000
315,0.0000
316,0.0000
317,0.0000
318,0.0000
319,0.0000
320,0.0000
321,0.0000
322,0.0000
323,0.0000
324,0.0000
325,0.0000
326,0.0000
327,0.0000
328,0.0000
329,0.0000
330,0.0000
331,0.0000
332,0.0000
333,0.0000
334,0.0000
335,0.0000
336,0.0000
337,0.0000
338,0.0000
339,0.0000
340,0.0000
341,0.0000
342,0.0000
343,0.0000
344,0.0000
345,0.0000
346,0.0000
347,0.0000
348,0.0000
349,0.0000
350,0.0000
351,0.0000
352,0.0000
353,0.0000
354,0.0000
355,0.0000
356,0.0000
357,0.0000
358,0.0000
359,0.0000
360,0.0000
361,0.0000
362,0.0000
363,0.0000
364,0.0000
365,0.0000
366,0.0000
367,0.0000
368,0.0000
369,0.0000
370,0.0000
371,0.0000
372,0.0000
373,0.0000
374,0.0000
375,0.0000
376,0.0000
377,0.0000
378,0.0000
379,0.0000
380,0.0000
381,0.0000
382,0.0000
383,0.0000
384,0.0000
385,0.0000
386,0.0000
387,0.0000
388,0.0000
389,0.0000
390,0.0000
391,0.0000
392,0.0000
393,0.0000
394,0.0000
395,0.0000
396,0.0000
397,0.0000
398,0.0000
399,0.0000
400,0.0000
401,0.0000
402,0.0000
403,0.0000
404,0.0000
405,0.0000
406,0.0000
407,0.0000
408,0.0000
409,0.0000
410,0.0000
411,0.0000
412,0.0000
413,0.0000
414,0.0000
415,0.0000
416,0.0000
417,0.0000
418,0.0000
419,0.0000
420,0.0000
421,0.0000
422,0.0000
423,0.0000
424,0.0000
425,0.0000
426,0.0000
427,0.0000
428,0.0000
429,0.0000
430,0.0000
431,0.0000
432,0.0000
433,0.0000
434,0.0000
435,0.0000
436,0.0000
437,0.0000
438,0.0000
439,0.0000
440,0.0000
441,0.0000
442,0.0000
443,0.0000
444,0.0000
445,0.0000
446,0.0000
447,0.0000
448,0.0000
449,0.0000
450,0.0000
451,0.0000
452,0.0000
453,0.0000
454,0.0000
455,0.0000
456,0.0000
457,0.0000
458,0.0000
459,0.0000
460,0.0000
461,0.0000
462,0.0000
463,0.0000
464,0.0000
465,0.0000
466,0.0000
467,0.0000
468,0.0000
469,0.0000
470,0.0000
471,0.0000
472,0.0000
473,0.0000
474,0.0000
475,0.0000
476,0.0000
477,0.0000
478,0.0000
479,0.0000
480,0.0000
481,0.0000
482,0.0000
483,0.0000
484,0.0000
485,0.0000
486,0.0000
487,0.0000
488,0.0000
489,0.0000
490,0.0000
491,0.0000
492,0.0000
493,0.0000
494,0.0000
495,0.0000
496,0.0000
497,0.0000
498,0.0000
499,0.0000
500,0.0000
