round,distance
0,10.0000
1,9.8805
2,9.7625
3,9.6459
4,9.5307
5,9.4168
6,9.3043
7,9.1932
8,9.0833
9,8.9748
10,8.8676
11,8.7617
12,8.6570
13,8.5536
14,8.4514
15,8.3504
16,8.2507
17,8.1521
18,8.0547
19,7.9585
20,7.8634
21,7.7695
22,7.6767
23,7.5850
24,7.4944
25,7.4048
26,7.3164
27,7.2290
28,7.1426
29,7.0573
30,6.9730
31,6.8897
32,6.8074
33,6.7261
34,6.6457
35,6.5663
36,6.4879
37,6.4104
38,6.3338
39,6.2581
40,6.1834
41,6.1095
42,6.0365
43,5.9644
44,5.8932
45,5.8228
46,5.7532
47,5.6845
48,5.6166
49,5.5495
50,5.4832
51,5.4177
52,5.3529
53,5.2890
54,5.2258
55,5.1634
56,5.1017
57,5.0408
58,4.9805
59,4.9210
60,4.8623
61,4.8042
62,4.7468
63,4.6901
64,4.6340
65,4.5787
66,4.5240
67,4.4699
68,4.4165
69,4.3638
70,4.3117
71,4.2602
72,4.2093
73,4.1590
74,4.1093
75,4.0602
76,4.0117
77,3.9638
78,3.9164
79,3.8696
80,3.8234
81,3.7777
82,3.7326
83,3.6880
84,3.6440
85,3.6004
86,3.5574
87,3.5149
88,3.4729
89,3.4314
90,3.3904
91,3.3499
92,3.3099
93,3.2704
94,3.2313
95,3.1927
96,3.1546
97,3.1169
98,3.0797
99,3.0429
100,3.0065
101,2.9706
102,2.9351
103,2.9000
104,2.8654
105,2.8312
106,2.7974
107,2.7639
108,2.7309
109,2.6983
110,2.6661
111,2.6342
112,2.6027
113,2.5716
114,2.5409
115,2.5106
116,2.4806
117,2.4509
118,2.4217
119,2.3927
120,2.3642
121,2.3359
122,2.3080
123,2.2804
124,2.2532
125,2.2263
126,2.1997
127,2.1734
128,2.1474
129,2.1218
130,2.0964
131,2.0714
132,2.0467
133,2.0222
134,1.9980
135,1.9742
136,1.9506
137,1.9273
138,1.9043
139,1.8815
140,1.8590
141,1.8368
142,1.8149
143,1.7932
144,1.7718
145,1.7506
146,1.7297
147,1.7090
148,1.6886
149,1.6685
150,1.6485
151,1.6288
152,1.6094
153,1.5901
154,1.5711
155,1.5524
156,1.5338
157,1.5155
158,1.4974
159,1.4795
160,1.4618
161,1.4444
162,1.4271
163,1.4101
164,1.3932
165,1.3766
166,1.3601
167,1.3439
168,1.3278
169,1.3120
170,1.2963
171,1.2808
172,1.2655
173,1.2504
174,1.2355
175,1.2207
176,1.2061
177,1.1917
178,1.1775
179,1.1634
180,1.1495
181,1.1358
182,1.1222
183,1.1088
184,1.0956
185,1.0825
186,1.0695
187,1.0568
188,1.0441
189,1.0317
190,1.0193
191,1.0072
192,0.9951
193,0.9832
194,0.9715
195,0.9599
196,0.9484
197,0.9371
198,0.9259
199,0.9148
200,0.9039
201,0.8931
202,0.8824
203,0.8719
204,0.8615
205,0.8512
206,0.8410
207,0.8310
208,0.8211
209,0.8112
210,0.8016
211,0.7920
212,0.7825
213,0.7732
214,0.7639
215,0.7548
216,0.7458
217,0.7369
218,0.7281
219,0.7194
220,0.7108
221,0.7023
222,0.6939
223,0.6856
224,0.6774
225,0.6693
226,0.6613
227,0.6534
228,0.6456
229,0.6379
230,0.6303
231,0.6228
232,0.6153
233,0.6080
234,0.6007
235,0.5935
236,0.5864
237,0.5794
238,0.5725
239,0.5657
240,0.5589
241,0.5522
242,0.5456
243,0.5391
244,0.5327
245,0.5263
246,0.5200
247,0.5138
248,0.5077
249,0.5016
250,0.4956
251,0.4897
252,0.4839
253,0.4781
254,0.4724
255,0.4667
256,0.4611
257,0.4556
258,0.4502
259,0.4448
260,0.4395
261,0.4343
262,0.4291
263,0.4239
264,0.4189
265,0.4139
266,0.4089
267,0.4040
268,0.3992
269,0.3944
270,0.3897
271,0.3851
272,0.3805
273,0.3759
274,0.3714
275,0.3670
276,0.3626
277,0.3583
278,0.3540
279,0.3498
280,0.3456
281,0.3415
282,0.3374
283,0.3334
284,0.3294
285,0.3254
286,0.3216
287,0.3177
288,0.3139
289,0.3102
290,0.3065
291,0.3028
292,0.2992
293,0.2956
294,0.2921
295,0.2886
296,0.2851
297,0.2817
298,0.2784
299,0.2750
300,0.2718
301,0.2685
302,0.2653
303,0.2621
304,0.2590
305,0.2559
306,0.2529
307,0.2498
308,0.2469
309,0.2439
310,0.2410
311,0.2381
312,0.2353
313,0.2325
314,0.2297
315,0.2269
316,0.2242
317,0.2215
318,0.2189
319,0.2163
320,0.2137
321,0.2111
322,0.2086
323,0.2061
324,0.2037
325,0.2012
326,0.1988
327,0.1965
328,0.1941
329,0.1918
330,0.1895
331,0.1872
332,0.1850
333,0.1828
334,0.1806
335,0.1784
336,0.1763
337,0.1742
338,0.1721
339,0.1701
340,0.1680
341,0.1660
342,0.1641
343,0.1621
344,0.1602
345,0.1582
346,0.1564
347,0.1545
348,0.1526
349,0.1508
350,0.1490
351,0.1472
352,0.1455
353,0.1437
354,0.1420
355,0.1403
356,0.1386
357,0.1370
358,0.1354
359,0.1337
360,0.1321
361,0.1306
362,0.1290
363,0.1275
364,0.1259
365,0.1244
366,0.1229
367,0.1215
368,0.1200
369,0.1186
370,0.1172
371,0.1158
372,0.1144
373,0.1130
374,0.1117
375,0.1103
376,0.1090
377,0.1077
378,0.1064
379,0.1052
380,0.1039
381,0.1027
382,0.1014
383,0.1002
384,0.0990
385,0.0978
386,0.0967
387,0.0955
388,0.0944
389,0.0933
390,0.0921
391,0.0910
392,0.0900
393,0.0889
394,0.0878
395,0.0868
396,0.0857
397,0.0847
398,0.0837
399,0.0827
400,0.0817
401,0.0807
402,0.0798
403,0.0788
404,0.0779
405,0.0769
406,0.0760
407,0.0751
408,0.0742
409,0.0733
410,0.0725
411,0.0716
412,0.0707
413,0.0699
414,0.0691
415,0.0682
416,0.0674
417,0.0666
418,0.0658
419,0.0650
420,0.0642
421,0.0635
422,0.0627
423,0.0620
424,0.0612
425,0.0605
426,0.0598
427,0.0591
428,0.0584
429,0.0577
430,0.0570
431,0.0563
432,0.0556
433,0.0550
434,0.0543
435,0.0537
436,0.0530
437,0.0524
438,0.0518
439,0.0511
440,0.0505
441,0.0499
442,0.0493
443,0.0487
444,0.0482
445,0.0476
446,0.0470
447,0.0464
448,0.0459
449,0.0453
450,0.0448
451,0.0443
452,0.0437
453,0.0432
454,0.0427
455,0.0422
456,0.0417
457,0.0412
458,0.0407
459,0.0402
460,0.0397
461,0.0393
462,0.0388
463,0.0383
464,0.0379
465,0.0374
466,0.0370
467,0.0365
468,0.0361
469,0.0357
470,0.0352
471,0.0348
472,0.0344
473,0.0340
474,0.0336
475,0.0332
476,0.0328
477,0.0324
478,0.0320
479,0.0316
480,0.0312
481,0.0309
482,0.0305
483,0.0301
484,0.0298
485,0.0294
486,0.0291
487,0.0287
488,0.0284
489,0.0280
490,0.0277
491,0.0274
492,0.0270
493,0.0267
494,0.0264
495,0.0261
496,0.0258
497,0.0255
498,0.0252
499,0.0249
500,0.0246
