round,distance
0,10.0000
1,12.3320
2,13.5987
3,0.4915
4,6.6282
5,3.2996
6,8.6924
7,11.6217
8,13.2129
9,14.0772
10,0.7514
11,6.4871
12,3.3763
13,5.0612
14,4.1508
15,9.1547
16,1.9224
17,7.9395
18,2.5874
19,5.4898
20,9.8772
21,12.2605
22,0.2402
23,6.7647
24,10.5698
25,1.1586
26,6.2659
27,10.2988
28,12.4895
29,0.1158
30,6.8323
31,10.6065
32,12.6566
33,0.0251
34,6.9137
35,10.6555
36,12.6880
37,13.7921
38,0.5965
39,6.5712
40,10.4646
41,1.2157
42,7.5604
43,11.0068
44,12.8789
45,13.8957
46,14.4481
47,0.9529
48,7.4176
49,10.9293
50,0.9585
51,7.4159
52,2.8718
53,5.3353
54,9.7933
55,1.5804
56,7.7585
57,11.1144
58,0.8580
59,6.4340
60,3.4003
61,8.7423
62,2.1513
63,8.0686
64,2.5124
65,5.5353
66,9.9068
67,12.2813
68,13.5712
69,0.4766
70,6.6364
71,3.2952
72,8.6900
73,2.1749
74,8.0766
75,11.2824
76,13.0237
77,0.1744
78,6.8053
79,10.5966
80,1.1392
81,6.2812
82,3.4833
83,8.7873
84,2.1268
85,8.0553
86,2.5196
87,5.5314
88,9.9047
89,1.5151
90,6.0771
91,3.5942
92,8.8476
93,2.0941
94,8.0375
95,11.2660
96,0.7756
97,6.4787
98,10.4192
99,1.2356
100,6.2289
101,10.2835
102,12.4860
103,13.6823
104,0.5369
105,6.6036
106,10.4822
107,12.5891
108,13.7335
109,0.5599
110,6.5959
111,10.4829
112,12.5943
113,13.7412
114,14.3641
115,14.7025
116,1.0911
117,6.3025
118,10.3187
119,12.5003
120,13.6853
121,14.3290
122,0.8834
123,6.4202
124,10.3874
125,12.5424
126,13.7130
127,14.3488
128,0.8990
129,6.4069
130,3.4199
131,8.7577
132,2.1381
133,8.0566
134,2.5237
135,5.5243
136,9.8960
137,12.2707
138,0.2347
139,7.0275
140,10.7173
141,12.7216
142,13.8103
143,0.6065
144,7.2295
145,2.9682
146,5.2877
147,4.0230
148,9.0805
149,11.8277
150,0.4753
151,7.1582
152,10.7883
153,1.0351
154,6.3378
155,3.4526
156,8.7706
157,11.6594
158,13.2285
159,0.2856
160,7.0504
161,3.0703
162,5.2274
163,4.0605
164,9.1057
165,11.8462
166,0.4605
167,7.1453
168,10.7765
169,12.7490
170,13.8204
171,14.4024
172,0.9232
173,7.3967
174,10.9131
175,0.9721
176,6.3672
177,10.3538
178,1.2759
179,7.5931
180,2.7707
181,8.4002
182,11.4582
183,0.6760
184,6.5280
185,10.4412
186,12.5668
187,13.7214
188,0.5534
189,7.1958
190,10.8039
191,12.7638
192,13.8285
193,0.6115
194,6.5679
195,3.3276
196,8.7027
197,2.1728
198,8.0803
199,11.2892
200,0.7630
201,7.3097
202,10.8658
203,12.7974
204,13.8467
205,0.6214
206,6.5625
207,10.4647
208,1.2108
209,6.2423
210,10.2908
211,1.3053
212,7.6043
213,11.0258
214,0.9109
215,7.3948
216,2.8784
217,5.3365
218,9.7988
219,12.2227
220,0.2559
221,6.7610
222,10.5726
223,12.6430
224,13.7676
225,0.5833
226,7.2169
227,2.9751
228,8.5113
229,2.2768
230,5.6585
231,3.8264
232,4.8168
233,4.2836
234,9.2269
235,1.8833
236,5.8771
237,10.0924
238,1.4131
239,6.1325
240,10.2311
241,12.4575
242,0.1284
243,6.8303
244,3.1850
245,5.1699
246,4.0869
247,4.6800
248,9.4422
249,12.0290
250,13.4341
251,14.1974
252,14.6119
253,1.0419
254,6.3293
255,3.4620
256,8.7806
257,2.1257
258,8.0499
259,11.2679
260,0.7794
261,7.3234
262,2.9172
263,8.4798
264,11.5014
265,13.1427
266,14.0343
267,0.7233
268,6.5072
269,10.4347
270,12.5681
271,13.7269
272,14.3564
273,14.6984
274,1.0888
275,6.3038
276,3.4759
277,5.0072
278,9.6151
279,12.1181
280,0.3176
281,6.7227
282,3.2483
283,5.1308
284,4.1130
285,4.6610
286,9.4271
287,12.0159
288,13.4222
289,0.3908
290,6.6878
291,3.2625
292,8.6674
293,11.6033
294,0.5972
295,6.5708
296,3.3308
297,8.7093
298,2.1644
299,8.0709
300,2.5160
301,5.5286
302,3.8970
303,4.7784
304,9.4908
305,12.0506
306,0.3542
307,6.7028
308,3.2591
309,5.1249
310,4.1162
311,9.1359
312,11.8626
313,0.4515
314,6.6548
315,3.2804
316,5.1181
317,9.6802
318,12.1582
319,13.5043
320,0.4402
321,6.6561
322,3.2845
323,5.1111
324,9.6715
325,12.1487
326,13.4943
327,0.4300
328,6.6665
329,3.2740
330,5.1216
331,9.6821
332,1.6360
333,7.7839
334,2.6719
335,8.3514
336,11.4365
337,13.1122
338,14.0225
339,14.5170
340,14.7856
341,1.1362
342,6.2780
343,10.3054
344,12.4931
345,13.6814
346,14.3268
347,14.6775
348,1.0727
349,7.4779
350,10.9572
351,12.8471
352,13.8737
353,14.4313
354,0.9390
355,6.3900
356,10.3710
357,12.5335
358,0.0871
359,6.9425
360,10.6664
361,1.1061
362,6.2944
363,3.4810
364,5.0044
365,4.1817
366,4.6238
367,9.4068
368,12.0049
369,13.4162
370,14.1828
371,14.5992
372,1.0302
373,7.4548
374,10.9446
375,12.8403
376,0.0747
377,6.9358
378,3.1326
379,8.6016
380,2.2229
381,8.1027
382,2.4987
383,8.2573
384,2.4099
385,5.5910
386,3.8582
387,4.8043
388,4.2856
389,4.5721
390,9.3836
391,1.7981
392,7.8719
393,2.6240
394,5.4699
395,9.8664
396,12.2546
397,13.5518
398,14.2565
399,0.8440
400,6.4416
401,3.3962
402,8.7400
403,2.1525
404,8.0693
405,11.2832
406,13.0290
407,0.1820
408,6.9989
409,3.0935
410,5.2197
411,4.0599
412,9.1005
413,1.9567
414,5.8324
415,3.7319
416,4.8681
417,4.2557
418,4.5835
419,9.3850
420,11.9931
421,13.4098
422,0.3841
423,7.1038
424,10.7540
425,1.0585
426,7.4750
427,10.9604
428,12.8537
429,13.8821
430,0.6454
431,6.5446
432,10.4502
433,1.2235
434,6.2306
435,3.5156
436,8.8097
437,2.1099
438,5.7540
439,10.0256
440,1.4494
441,7.6825
442,2.7269
443,8.3813
444,2.3426
445,5.6276
446,9.9569
447,12.3086
448,13.5860
449,0.4846
450,7.1633
451,3.0042
452,8.5271
453,11.5271
454,13.1567
455,14.0418
456,0.7274
457,7.2903
458,10.8553
459,12.7917
460,13.8436
461,0.6197
462,7.2318
463,10.8235
464,1.0208
465,6.3407
466,3.4558
467,8.7772
468,2.1275
469,5.7444
470,3.7749
471,4.8495
472,4.2610
473,4.5855
474,4.4044
475,9.2877
476,11.9402
477,13.3811
478,0.3685
479,7.0954
480,3.0459
481,8.5545
482,11.5468
483,13.1722
484,14.0551
485,0.7394
486,7.3017
487,2.9290
488,5.3090
489,4.0114
490,9.0742
491,11.8243
492,13.3181
493,0.3343
494,6.7185
495,3.2458
496,8.6583
497,11.5984
498,13.1954
499,0.2676
500,7.0406
