round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,2.1444,27.2374,84.4358,2.2560,29.9065,63.5514,2.3327,10.0000,50.0256
8,2.1785,14.7583,89.4402,2.3165,19.2618,43.2526,2.3215,10.0000,50.7244
12,2.9828,5.4745,91.1192,4.2839,0.0000,71.4597,4.3090,10.0000,50.0000
16,3.4351,17.3077,78.8462,2.9603,35.8794,64.0201,4.3643,10.0000,49.0700
20,3.2057,16.8186,82.1682,3.9403,17.1301,37.7086,3.9091,10.0789,52.2033
24,3.4114,30.6306,76.8340,5.0124,23.6149,53.4060,5.8520,10.0000,50.7467
28,3.4102,22.9459,63.1263,3.7383,14.5833,85.5392,4.3936,10.0000,50.2333
32,3.1046,22.5773,88.3505,3.7346,8.5013,75.2848,3.9923,10.1256,59.1722
36,2.0144,27.1508,82.7933,2.2965,12.2137,58.7786,2.2078,13.6767,71.7822
40,1.7087,29.1221,88.8651,2.5102,15.0685,65.7534,2.4586,15.8878,63.8167
44,2.6633,38.6509,83.3181,4.9081,0.0000,52.8455,4.4788,10.1478,52.1978
48,2.4321,17.7914,66.6667,2.5945,18.3920,71.5578,2.8810,12.2222,60.9667
52,2.6480,24.3697,87.2899,4.1971,1.8779,43.0751,3.6666,11.7811,60.5444
56,2.8023,29.7297,68.4685,4.2211,1.0465,35.0000,3.9500,10.3744,55.8356
60,3.5000,41.6744,69.2093,5.6947,11.0246,66.6667,5.6116,10.9444,59.4389
64,4.0260,23.8217,64.5860,5.6672,1.2036,42.1264,5.3409,10.7433,55.5578
68,2.1367,18.5685,92.3237,2.8807,12.2610,62.0922,2.9916,10.9811,64.8944
72,2.7020,9.9542,66.2471,3.2270,3.0754,36.7063,2.8195,11.1978,55.1178
76,2.8693,28.5260,88.3351,5.6744,2.8436,41.5877,4.5620,10.6322,63.6511
80,2.8941,17.8017,80.5257,3.3505,12.8964,60.4651,3.6399,12.8667,58.6933
84,4.0397,40.4472,80.7927,7.5161,5.0000,44.0000,6.6983,10.0867,51.5422
88,1.8301,33.3681,93.1178,2.2759,19.9243,92.1816,2.6994,14.3578,74.7167
92,2.9523,9.7679,67.7950,3.5529,9.6866,53.8462,3.5958,10.2467,58.6522
96,2.7454,43.3087,89.1465,3.8668,22.5772,86.1555,5.5749,10.9011,58.3122
100,3.2089,22.1292,56.6986,1.9963,50.0000,73.8152,3.3660,13.0933,63.2611
104,3.2921,31.2437,83.9232,5.8490,7.7013,28.7048,5.2687,10.0033,54.6011
108,4.5826,16.6430,76.6714,5.8521,4.4643,57.2421,5.5887,11.3933,57.3489
112,3.7363,33.5714,86.1905,5.7246,26.9727,27.9770,5.7683,13.3978,51.7222
116,3.2090,23.6908,72.3192,3.2181,28.4240,64.1651,3.9133,12.9844,64.7267
120,3.6972,19.1558,74.4589,4.1674,12.6569,70.1883,4.3874,11.6544,61.0467
124,2.9701,48.7365,100.0000,7.7687,0.0000,46.8884,7.0826,10.0000,53.7822
128,2.3508,32.2132,94.2063,2.7532,17.6692,81.9549,3.5298,12.5167,66.6933
132,4.4256,13.8889,71.9807,4.8572,16.4634,44.7561,4.9786,10.9411,56.1489
136,1.8580,36.4440,92.5344,3.2365,7.1839,72.2222,3.0655,10.0000,71.8889
140,2.2631,33.0673,85.1767,3.6331,14.3382,57.8431,3.2403,16.7156,69.8889
144,2.7168,24.7084,87.4867,2.5207,18.8172,85.9140,3.2060,11.5078,77.3489
148,3.6838,26.6341,68.0000,5.5136,3.0055,37.4317,4.5348,13.6778,62.5233
152,1.9023,23.8418,91.0734,3.1763,3.3413,45.5847,2.3775,19.9478,73.3000
156,3.1655,16.8763,70.3354,3.0312,31.2877,66.4990,3.6863,12.9167,66.4811
160,2.9129,22.9847,87.5817,4.5836,4.4549,42.5557,4.0891,11.9844,55.7289
164,2.7020,22.8050,89.7377,4.3048,0.8653,73.7948,3.8572,11.3333,66.9100
168,1.8091,49.3902,92.5610,4.6634,2.7987,72.7664,4.1655,14.2544,72.5744
172,4.4856,17.9541,65.5532,4.6975,18.7298,70.6136,5.3266,10.5656,57.6033
176,2.7572,19.2469,79.0795,4.1942,0.1285,58.9974,3.5260,13.5656,63.3922
180,2.2559,35.8830,85.1519,2.4872,29.2588,82.9649,3.4958,17.9444,72.4778
184,2.3439,21.8962,91.4221,3.1002,16.3361,66.6278,3.3034,14.1511,70.2533
188,3.4338,23.6546,95.9950,4.5738,9.3985,77.1930,4.6112,11.4267,68.9244
192,3.3719,34.9892,69.7624,3.7670,33.2079,69.7084,4.8924,13.0433,53.5789
196,3.3649,27.7433,87.5776,4.6504,8.0838,42.5150,4.2947,10.9978,62.0933
200,2.8581,27.3364,87.8505,3.6107,9.3400,66.3761,3.3174,17.0367,73.4744
