round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,9.0340,27.2374,77.8210,10.2173,29.9065,71.4953,12.5510,10.0000,50.0000
8,5.7197,26.9720,100.0000,9.7730,21.2226,46.8281,10.1443,10.0000,50.0000
12,6.0848,5.4745,91.1192,8.6309,0.0000,71.4597,8.4467,10.0000,50.0056
16,7.8334,17.3077,54.9279,6.0235,35.8794,76.1809,9.3742,10.0000,50.5167
20,4.7478,16.7173,76.2918,4.9824,17.0189,38.5984,5.5346,10.0000,50.2589
24,4.7025,30.6306,99.3565,7.3768,23.6149,57.8565,8.4976,10.0000,50.1744
28,5.9565,22.9459,78.4569,6.9695,14.5833,51.4706,8.0535,10.0000,50.1033
32,6.4037,22.3711,78.6598,8.7173,8.5013,53.7248,8.5936,10.0000,49.3389
36,9.1161,18.3240,69.9441,11.8889,7.8880,63.7405,11.4735,10.0000,51.1133
40,3.4537,25.4818,97.4304,8.0775,4.0042,54.4784,7.3200,11.7011,54.3833
44,3.6819,38.4686,83.5005,6.6248,0.0000,61.5563,6.2576,10.0000,54.8556
48,16.3761,16.3599,69.2229,19.9764,15.4774,47.6382,18.6642,9.9756,50.9656
52,5.4504,20.0630,73.6345,8.0453,0.7042,43.0751,7.4898,10.4256,56.2211
56,5.1563,29.2292,83.1832,6.7560,0.0000,65.6977,6.9693,10.0000,50.8411
60,3.9857,39.4419,100.0000,8.2129,11.0246,49.1569,8.2718,10.0033,50.2889
64,7.7429,22.9299,74.5223,12.4217,0.0000,54.1625,11.4452,10.0033,52.8467
68,2.4297,15.7676,77.1784,3.0860,10.0112,35.7705,2.7902,9.8322,55.7367
72,9.4362,9.3822,45.3089,9.9817,0.0000,38.2937,8.9155,10.0000,55.5622
76,5.3981,27.9958,76.0339,10.3499,0.1185,19.0758,7.9293,10.1011,55.1544
80,5.6656,13.7395,81.9594,5.5529,7.5053,62.6850,5.6140,10.2467,63.2100
84,2.2920,40.4472,79.9797,4.2022,4.9000,42.9000,3.9755,10.0000,50.0011
88,2.5027,29.9270,73.5141,2.8153,20.3026,66.9609,3.3644,10.0000,50.9622
92,4.6222,9.1876,97.8723,6.2182,8.9744,66.6667,6.5215,10.0000,54.6878
