round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,2.1282,23.8541,78.5781,2.3007,11.6910,59.3946,2.4400,10.0000,49.8700
8,2.2951,14.0276,58.2359,2.2922,18.3735,54.3173,2.3480,12.1600,50.0000
12,5.0741,23.0019,77.0955,6.8586,8.6069,42.1473,5.8562,10.0000,48.0200
16,4.1934,26.5957,72.3404,5.3346,14.7157,57.8595,5.9177,15.4600,57.0600
20,2.3844,13.5542,61.3454,2.5050,14.1975,43.9300,2.4768,10.0000,52.5600
24,3.1695,21.0000,72.2000,3.6639,22.4951,58.1532,4.3212,16.4800,60.8900
28,2.2328,24.3665,82.8460,3.5909,8.9899,35.2525,3.2344,14.2900,55.1000
32,2.2358,16.2694,75.1295,2.4459,17.3203,58.6057,2.6013,10.0100,55.0000
36,5.7584,10.1554,60.7254,6.5438,8.9064,47.4634,6.0689,10.1200,51.8700
40,4.9135,22.3823,66.7627,5.9799,8.6687,61.8163,5.2593,17.4200,62.3600
44,3.1908,25.2165,72.2944,3.6853,17.3695,63.8554,3.9809,15.0900,61.3200
48,2.5681,20.6560,76.1525,3.7616,11.5458,39.4084,3.2043,10.0100,53.3000
52,1.9944,14.9414,84.3750,2.8826,4.5168,50.7353,2.4398,14.2800,65.3100
56,2.5083,8.3969,73.7595,2.8583,6.9176,51.1699,2.7861,10.7800,58.1400
60,3.3176,11.2383,59.2092,3.2380,12.0709,61.4618,3.2323,11.9200,55.2400
64,2.6752,22.0183,63.9144,3.2066,14.6875,64.1667,3.1795,13.0900,58.8900
68,2.6919,30.4075,80.2508,3.2030,27.7467,66.6667,4.1237,17.8600,64.7000
72,2.1729,14.6568,75.9740,1.9942,21.6730,84.0304,2.2977,12.9600,67.0200
76,3.1650,21.1557,72.6738,3.5609,11.9497,61.6352,3.2777,13.1500,65.9600
80,5.0840,24.1036,71.2151,5.2458,22.5023,72.1755,5.8360,16.7900,64.5100
84,2.0689,34.3029,90.0702,2.8206,18.6709,67.0886,2.6957,17.9400,74.3100
88,3.7449,25.8170,78.3224,3.5554,32.8571,76.7033,3.7918,17.7400,73.0700
92,4.0016,21.4209,81.0549,4.5038,21.5544,70.7772,5.1609,19.2600,66.1300
96,4.2207,19.9438,66.2921,3.8398,19.5212,70.1657,3.9123,15.3100,63.5800
