round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,5.2022,21.9121,82.9728,7.9784,0.0000,57.9734,6.9844,10.0000,61.4200
8,3.8885,33.0955,96.6994,6.3634,6.1655,85.1351,4.8781,22.6800,85.7800
12,2.6711,39.3798,98.6047,3.8891,32.0656,90.5295,3.9884,24.1400,89.7800
16,2.1949,49.1667,92.7778,4.5494,21.3347,87.5632,2.7020,28.4800,92.7800
20,1.6619,73.1814,99.6494,3.6534,40.3895,99.6613,4.2714,26.7200,94.8500
24,3.1623,44.9242,96.2879,4.3495,18.5517,93.8975,3.6856,30.6800,94.4800
28,2.0542,54.2373,100.0000,3.7490,47.0685,76.3832,3.9820,30.2900,88.3600
32,2.3068,50.2964,99.8024,1.9414,55.0600,94.5969,2.8287,46.1400,96.8800
36,1.2812,72.8383,98.7782,1.6559,52.8270,99.4093,3.5934,38.8600,88.1200
40,3.1098,43.7865,94.9124,1.4349,66.5856,99.4323,3.3188,36.7100,92.6100
44,1.6186,49.2370,99.2879,1.6838,53.8726,97.0740,1.6202,52.0600,98.4100
48,0.6762,74.0644,98.6945,2.9108,39.6887,96.8872,2.6845,36.0800,96.9200
52,1.1572,66.3275,99.9075,3.6355,24.1710,97.2077,2.6765,40.4600,90.7300
56,1.8690,55.6244,99.8229,2.1574,59.8081,99.5736,2.0041,53.8500,99.2900
60,2.3592,40.2022,99.6890,2.7079,35.4075,98.5977,2.2172,46.5700,98.6400
64,1.3767,60.2694,100.0000,1.9889,59.7718,94.7218,2.1579,53.5000,98.1900
68,2.5939,51.0917,100.0000,2.8975,42.7658,98.2414,2.7396,48.0800,98.9200
72,1.1216,71.4165,98.0492,2.2676,36.4564,97.4954,2.1794,42.9400,95.2200
76,2.5467,54.5946,99.6139,1.9543,64.7109,99.5748,2.9410,46.6700,98.3300
80,0.8258,72.6655,99.1511,0.5545,82.4117,99.5392,1.2279,60.6500,98.9200
84,1.5948,56.9328,98.1092,1.2818,70.5432,96.1744,2.0809,46.1600,95.9700
88,1.2991,75.4972,100.0000,1.9213,59.9711,99.7832,2.2548,50.7400,94.4200
92,0.6084,83.9378,100.0000,1.1498,74.4084,98.5101,2.0286,56.0600,97.8600
96,0.5464,83.0467,99.7543,1.0009,67.1698,98.9623,1.0455,63.1800,99.0100
100,1.0190,67.7575,100.0000,1.7277,48.0709,98.1230,1.2270,61.2100,98.3100
104,0.8917,78.7162,99.4932,1.5126,63.3333,99.9187,2.0315,51.5100,96.6500
108,0.5213,82.0080,100.0000,1.7929,56.4915,100.0000,1.9000,53.7500,99.0600
112,0.4673,85.1966,100.0000,1.8119,61.2424,99.8650,1.8871,57.1700,98.4400
116,1.2362,67.3298,99.6174,1.9022,56.5074,97.9407,2.4584,46.3300,97.4600
120,2.0922,55.6711,99.5274,3.6025,31.2764,99.5773,3.5141,38.1000,89.9600
124,0.7694,76.9042,98.9353,2.0060,42.2785,97.5527,1.7585,52.5800,98.0800
128,0.3673,88.7669,99.8311,1.5101,55.1923,97.0192,1.8834,50.1200,97.2400
132,1.1017,72.6190,100.0000,3.3023,32.5069,98.4389,2.3456,48.4600,98.7300
136,2.8810,48.2072,99.6016,1.1399,73.8762,98.8126,2.5338,51.9200,99.5300
140,0.9469,67.9333,99.8000,1.5465,52.2110,100.0000,1.4213,57.8000,99.0400
144,0.7948,73.8516,99.5583,1.9178,60.0500,95.9133,1.6127,62.6100,97.5500
148,0.3410,89.6792,99.7211,1.9132,47.5058,96.6232,1.1194,66.5100,98.8100
152,0.2922,90.4996,99.9181,0.9583,68.8909,98.4671,1.0384,67.2300,98.8800
