round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,1.3820,64.7059,92.8019,2.2088,53.8922,88.7938,2.3122,48.2900,88.0600
8,0.8710,72.6094,97.8120,1.1338,66.0448,98.5075,1.3036,64.8000,95.7100
12,0.5617,84.2000,100.0000,0.8937,77.9010,98.9761,0.9507,75.4000,99.1500
16,0.2747,92.7007,99.8175,0.7504,81.1594,98.9770,0.7008,82.8000,99.5400
20,0.2418,93.0255,100.0000,0.4574,87.5392,99.1379,0.3687,90.0000,99.6900
24,0.1507,95.1083,100.0000,0.2549,91.8519,99.7531,0.2345,93.4200,99.8100
28,0.1626,95.7429,99.7496,0.3255,91.4286,99.2278,0.3737,90.6900,99.7500
32,0.7953,82.2881,99.9153,0.9251,78.0992,99.9174,0.5656,86.0100,99.7100
36,0.1528,96.0958,99.8225,0.2368,94.3058,99.6880,0.2233,94.2100,99.7400
40,0.1002,96.8153,100.0000,0.0995,97.0238,100.0000,0.1323,96.3400,99.8000
44,0.0685,97.9112,100.0000,0.1622,95.5247,99.6914,0.2049,94.3000,99.8600
48,0.0755,97.3641,100.0000,0.1340,96.2779,100.0000,0.1422,96.1200,99.9300
52,0.0818,97.2244,100.0000,0.1791,95.5437,100.0000,0.2123,94.7000,99.8600
56,0.0769,97.1944,100.0000,0.2225,93.2796,100.0000,0.2278,93.5000,99.9100
60,0.3057,90.3409,99.8377,0.4460,86.3751,99.6636,0.3166,91.5900,99.8700
64,0.0974,97.6378,100.0000,0.1790,95.4683,99.9245,0.1696,95.2400,99.8900
68,0.1146,97.1751,100.0000,0.2654,92.4623,100.0000,0.1864,94.7500,99.9300
72,0.0248,99.3699,100.0000,0.0433,98.6949,100.0000,0.1167,96.9000,99.9400
76,0.0446,98.4902,100.0000,0.1426,95.7154,100.0000,0.1520,95.9900,99.9100
80,0.0236,99.4027,100.0000,0.2757,93.0567,99.8307,0.2043,94.8000,99.8500
84,0.2277,94.7761,99.8342,0.1364,96.4481,99.8179,0.1214,96.5500,99.9600
88,0.0809,97.6378,100.0000,0.2006,94.5799,99.9097,0.1550,96.1000,99.9400
92,0.1871,96.0526,99.8452,0.2643,92.6728,99.8335,0.2291,94.1700,99.8600
96,0.2392,92.3019,99.6263,0.6225,80.8642,98.7654,0.5466,83.9400,99.2300
100,0.1318,96.2062,100.0000,0.1579,94.9775,99.7001,0.2053,94.3200,99.8500
104,0.0511,98.2424,100.0000,0.1296,96.1877,100.0000,0.1112,96.9000,99.9300
108,0.0623,97.4461,100.0000,0.1698,95.7447,99.8150,0.1830,95.1200,99.8400
112,0.1309,95.9044,99.8294,0.1650,94.8602,99.8488,0.1870,94.2400,99.8500
116,0.0534,98.2272,99.9194,0.2278,94.2056,99.9065,0.1413,96.0900,99.9200
120,0.0526,98.5981,100.0000,0.1468,96.3570,99.7268,0.1635,95.6700,99.9400
124,0.8756,73.9362,99.0881,0.6817,79.8180,98.5939,1.0087,69.9300,98.4000
128,0.0526,98.1973,100.0000,0.1958,95.9900,99.8329,0.1453,96.5400,99.8300
132,0.0602,98.1030,100.0000,0.1852,94.8738,99.8470,0.1500,96.0700,99.8100
136,0.1193,96.3024,100.0000,0.1466,96.6576,99.8193,0.1410,96.0600,99.9400
140,0.0427,98.7678,100.0000,0.0913,97.4769,100.0000,0.1273,96.7400,99.9700
144,0.0356,98.5256,100.0000,0.1520,96.0311,99.9137,0.1549,95.9500,99.8800
148,0.0953,97.1729,100.0000,0.3816,89.5694,99.5215,0.2507,92.8700,99.8200
152,0.0501,98.4948,100.0000,0.1529,95.7301,99.8292,0.1322,96.0000,99.9500
156,0.0321,99.0930,100.0000,0.1377,96.4147,100.0000,0.1130,96.9600,99.9400
160,0.0526,98.4323,100.0000,0.1233,96.5571,100.0000,0.1424,96.3900,99.8000
164,0.3447,91.5980,99.3410,0.2853,92.4831,98.7331,0.2875,92.7500,99.4200
168,0.0217,99.4220,100.0000,0.0812,97.5037,99.8532,0.0814,97.9700,99.9500
172,0.0375,98.6807,100.0000,0.0672,98.2036,99.9145,0.1334,96.3800,99.9800
176,0.0053,99.7653,100.0000,0.0879,97.8417,100.0000,0.1141,96.8900,99.9700
180,0.0862,97.2022,100.0000,0.1958,95.0860,100.0000,0.1385,96.5700,99.8900
184,0.0059,99.8039,100.0000,0.1774,94.8137,99.5617,0.1804,95.0200,99.7600
188,0.0316,99.2194,100.0000,0.1049,97.8308,100.0000,0.1582,96.1500,99.9500
