round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,0.7959,69.5376,99.6374,0.9245,63.2599,98.7665,1.1501,53.7800,97.2500
8,0.5033,84.1296,99.2713,0.5540,81.4900,99.0015,0.6174,79.9100,99.0100
12,0.5583,80.4680,99.6400,0.6710,76.7461,98.9318,0.6859,76.9100,99.0900
16,0.2601,93.0645,99.6774,0.3762,88.0531,99.2035,0.4023,86.7400,99.4400
20,0.3359,89.3969,99.8054,0.4422,85.1648,99.3590,0.3996,87.0100,99.4200
24,0.2447,90.6344,100.0000,0.4742,83.6538,99.3007,0.4525,84.2900,99.3700
28,0.2184,92.8125,99.8438,0.4283,85.5663,99.6547,0.3930,87.2400,99.4000
32,0.2984,88.8798,99.8365,0.3717,88.5650,99.6263,0.3610,88.3000,99.5300
36,0.2764,91.2471,99.8451,0.3415,89.8936,99.3794,0.3425,89.2900,99.5700
40,0.1795,95.0989,99.6561,0.3505,87.9414,99.6555,0.3325,88.6000,99.5100
44,0.2575,90.9091,99.8362,0.2766,91.7553,99.6454,0.3020,90.6800,99.5300
48,0.2065,94.1218,99.9300,0.2946,90.3448,99.6552,0.3304,89.2600,99.7300
52,0.1902,94.6655,99.9096,0.2749,91.4308,99.7705,0.2798,91.0900,99.7600
56,0.1634,94.8561,99.9128,0.3096,89.7414,99.5690,0.3353,89.1100,99.6700
60,0.1473,95.0253,99.8314,0.1759,94.8320,99.9139,0.2656,91.7100,99.6600
64,0.1779,94.4050,99.7636,0.2049,93.5820,99.7398,0.2112,93.3100,99.7100
68,0.1449,95.9847,99.9044,0.2288,92.4030,99.8348,0.2635,91.2200,99.6200
72,0.1877,93.6937,99.8362,0.2493,92.5701,99.6967,0.2402,92.4100,99.7100
76,0.1024,96.5077,100.0000,0.2523,92.4498,99.6787,0.2628,91.6300,99.7000
80,0.0963,97.0289,100.0000,0.2407,92.5386,99.5712,0.2072,93.5100,99.7000
84,0.1867,93.5961,100.0000,0.2092,93.3764,99.8384,0.2416,92.2900,99.7200
88,0.1611,95.3170,99.7839,0.2696,91.0915,99.8395,0.2156,93.2600,99.7000
92,0.1121,97.1689,99.6347,0.2310,92.9360,99.7792,0.2311,92.3900,99.7700
96,0.1130,96.6146,99.9132,0.2290,93.1673,99.7153,0.2122,93.5900,99.7200
100,0.1437,95.7658,99.9099,0.2303,92.2347,99.6549,0.1977,93.7100,99.7500
104,0.1668,94.7183,99.7359,0.1868,93.9547,99.7481,0.2070,93.2800,99.8000
108,0.1311,96.1783,99.9204,0.1661,94.1645,99.7347,0.1936,93.8400,99.7400
112,0.1489,95.5088,99.8596,0.3260,89.4543,99.7788,0.2763,90.8200,99.7900
116,0.1397,95.7826,99.9189,0.2017,93.3213,99.8195,0.1908,93.9900,99.7800
120,0.1812,93.9759,100.0000,0.1712,94.6945,99.9196,0.2056,93.5700,99.7500
124,0.0970,97.4892,99.9134,0.1053,96.8338,99.9120,0.1788,94.5700,99.7600
