round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,1.9781,18.5015,73.7003,2.4201,11.6512,66.0494,2.4851,10.0000,58.0200
8,1.9933,50.0911,97.4499,2.1501,31.3469,88.1633,2.7758,26.7600,78.8200
12,2.6852,24.8127,99.4382,3.8513,6.4000,91.5636,3.4540,20.2000,85.7400
16,0.9817,58.5274,99.0984,1.9554,23.6620,94.2723,1.5855,38.1300,95.7700
20,0.9747,71.3523,99.1993,2.0930,41.7077,97.4548,1.6394,49.6300,97.7000
24,0.5646,82.8790,99.4889,0.9428,63.6279,98.2326,1.1150,61.2300,98.5500
28,0.4099,84.9896,99.5859,1.4694,63.7543,99.2215,1.2651,66.0600,99.1900
32,0.7356,68.5965,99.8246,1.3446,45.6628,98.8543,1.1381,57.2300,99.3500
36,0.4093,85.6822,99.4753,0.5716,76.9723,99.5025,0.8623,69.6000,99.2600
40,0.5810,76.0551,99.6555,0.4902,84.3827,99.5094,1.1421,63.4500,99.2000
44,0.6750,76.1407,99.7148,1.1377,61.8299,98.3560,1.0917,63.4400,98.5400
48,0.4856,83.4091,99.9242,1.0858,65.4573,97.3545,0.8837,72.0800,98.4700
52,0.5789,76.7225,99.9069,1.0489,55.4874,99.2502,0.8712,65.0900,99.5400
56,0.1087,96.3801,100.0000,0.8573,74.0157,99.6500,1.1367,64.4300,99.3500
60,0.4500,83.4539,99.7288,0.7248,72.8173,99.6400,0.8565,67.7500,99.5000
64,0.5204,81.3842,99.6818,0.9224,65.5968,99.6991,0.6662,76.0700,99.6600
68,0.3777,83.9539,99.7340,0.6742,75.2889,99.5556,0.7194,73.9400,99.6200
72,0.8423,62.8931,99.6855,0.5100,75.0936,99.4382,0.6871,69.4700,99.6500
76,0.4076,86.5602,99.7180,1.1245,57.3248,99.4540,0.8876,68.7200,99.4900
80,0.8056,65.7028,100.0000,0.3731,87.7651,99.8369,0.6374,76.1300,99.6100
84,0.6472,75.5361,99.4152,0.4055,87.2795,100.0000,0.6493,76.5200,99.6500
88,0.2538,90.5808,99.7645,0.3340,88.9720,99.8131,0.5584,80.0900,99.6200
92,0.1338,95.4614,99.7731,0.9011,71.4912,99.9123,0.8221,75.4400,99.4900
96,0.4595,83.6394,99.6661,0.4097,86.5263,99.7895,0.5553,78.6200,99.6200
100,0.3811,85.6014,100.0000,0.2821,89.8911,99.8445,0.6285,77.4900,99.4500
104,0.5893,75.9969,99.6873,0.5509,79.7009,99.6795,0.7502,69.9900,99.5700
108,0.5140,83.7079,99.9197,0.3809,85.1528,99.9127,0.7034,74.0800,99.3800
112,0.6093,80.9107,99.7373,0.3391,87.8909,99.7594,0.6159,79.2600,99.6100
116,0.3855,86.2462,100.0000,0.4120,85.3457,99.7936,0.6159,78.3500,99.2800
120,0.3527,87.1362,100.0000,0.5436,80.4348,99.6219,0.7420,73.6700,99.6000
124,0.3815,86.2940,99.8197,1.1678,49.6479,99.8239,0.7846,71.1000,99.6800
128,0.5938,71.9234,99.9088,0.9246,65.8273,99.7302,0.9036,68.2800,99.7600
132,0.2294,91.2434,100.0000,0.2546,90.1677,99.7713,0.5377,79.6600,99.5900
136,0.2576,90.2930,99.9084,0.5255,76.1870,99.7809,0.5967,74.7900,99.8100
140,0.8541,68.7664,100.0000,0.9053,67.5873,99.8375,0.8063,73.9000,99.7800
144,0.6586,75.1582,99.8418,0.8176,69.9129,99.7625,0.6277,78.6700,99.6500
148,0.0469,98.2342,100.0000,0.7679,74.2813,99.9223,1.1945,63.3800,99.7600
152,0.2112,92.9026,100.0000,0.4517,85.5564,99.8526,0.6082,81.4100,99.5700
156,0.2222,92.4783,100.0000,0.7568,68.5470,99.6581,0.6248,75.6200,99.7000
160,0.2485,90.6993,99.8642,0.4260,85.8842,99.9207,0.7356,75.3100,99.6800
164,0.3535,86.6003,99.8469,0.4923,81.3158,99.7368,0.4718,82.5100,99.7200
168,0.3042,89.3762,99.9025,0.3300,88.9286,99.8214,0.5747,80.4700,99.7800
172,0.0950,97.3249,99.9213,0.5442,80.0323,99.5150,0.6320,77.7900,99.5500
176,0.3614,86.2205,100.0000,0.5948,76.0638,99.8480,0.5741,78.4300,99.8300
180,0.1560,94.1919,100.0000,0.2957,88.7489,99.9100,0.4732,82.7900,99.7700
184,0.1442,94.5515,100.0000,0.6475,75.1149,99.9234,0.6703,76.5800,99.7600
188,0.4777,82.5743,99.9010,0.4666,80.7427,99.7409,0.4559,82.6000,99.7800
192,0.2632,90.5365,99.9255,0.4044,83.9199,100.0000,0.4501,82.7100,99.8000
196,0.3749,85.9632,99.9032,0.3703,86.2689,100.0000,0.4454,84.4800,99.7600
200,0.1483,94.9378,100.0000,0.2262,91.7785,99.9161,0.4452,84.4300,99.6400
204,0.2562,91.1936,99.8544,0.5914,79.6444,99.9111,0.5155,81.9100,99.6200
208,0.1178,95.5279,100.0000,0.3327,87.7152,99.8435,0.4329,84.6000,99.8100
212,0.3492,87.4036,100.0000,0.5334,80.8581,99.9175,0.6181,77.1200,99.7700
216,0.5453,80.1257,99.8429,0.4306,83.6561,99.8451,0.6398,76.8700,99.8400
220,0.1345,95.2338,100.0000,0.3511,86.7026,99.9102,0.4289,83.5000,99.7900
224,0.4018,83.6923,100.0000,0.5845,78.7215,100.0000,0.5276,81.4600,99.7500
228,0.2223,93.1188,100.0000,0.0877,97.4038,100.0000,0.4935,82.9000,99.7000
232,0.2226,92.3213,100.0000,0.1760,93.9227,99.9211,0.5837,80.6800,99.7300
236,0.4458,84.9644,99.9110,0.7540,75.7417,99.9127,0.6335,80.2900,99.8100
240,0.0788,97.3168,100.0000,0.4622,83.7614,99.8343,0.6197,79.1900,99.8400
244,0.3306,87.4676,100.0000,0.3820,85.9485,99.7658,0.4247,85.0900,99.7600
248,0.3506,86.8794,99.9291,0.4869,80.7692,99.7253,0.4955,81.0700,99.8000
252,0.6625,71.8937,99.9143,0.6891,70.4963,100.0000,0.4696,82.0400,99.8300
256,0.2254,91.9815,100.0000,0.4470,83.7227,100.0000,0.4173,85.6400,99.8100
260,0.3390,87.9686,100.0000,1.0914,59.2308,99.8291,0.8674,70.9500,99.8600
264,0.3397,86.1362,99.9180,0.3122,87.5887,99.9113,0.5127,80.2900,99.8300
268,0.4662,80.6222,100.0000,0.6360,74.1265,100.0000,0.5547,78.8500,99.8100
272,0.2691,89.2502,100.0000,0.2713,88.7687,99.8336,0.4043,85.0200,99.8500
276,0.1534,94.5774,99.9203,0.2684,90.5646,99.8453,0.3881,86.4800,99.7900
280,0.2769,88.7946,100.0000,0.6652,75.7422,99.8304,0.5793,79.2300,99.8400
284,0.2088,92.9917,100.0000,0.7097,71.1670,100.0000,0.4940,81.5900,99.8300
288,0.2697,90.6854,100.0000,0.5081,78.9735,100.0000,0.5309,79.1300,99.8300
292,0.0379,99.0934,100.0000,0.4270,85.8790,99.8559,0.6758,78.8400,99.8100
296,0.1692,92.8110,100.0000,0.1743,94.6257,100.0000,0.4061,85.3100,99.8500
300,0.1625,94.3522,99.9169,0.2646,90.4459,99.9090,0.4640,83.3900,99.7300
304,0.1647,95.0647,100.0000,0.6796,74.7316,99.8348,0.4364,84.6600,99.7800
308,0.2819,90.3485,99.8213,0.3162,87.1077,100.0000,0.3552,87.3200,99.8000
312,0.6796,73.6434,100.0000,0.5770,79.0134,99.9164,0.6221,76.9200,99.8500
316,0.2701,89.2473,99.9104,0.6336,80.0527,99.6485,0.6875,78.6100,99.6300
320,0.1370,94.9538,100.0000,0.3103,88.4354,100.0000,0.5096,82.9400,99.8400
324,0.3976,87.1218,100.0000,0.4547,82.1543,99.9196,0.5586,81.2400,99.7800
328,0.5313,77.1710,100.0000,0.2054,92.6299,100.0000,0.3806,85.1500,99.7900
332,0.0722,97.5220,100.0000,0.3480,87.4088,100.0000,0.3932,86.0600,99.7900
336,0.2484,90.9739,99.8416,0.5595,81.5651,100.0000,0.4943,83.6500,99.7800
340,0.3212,87.3622,100.0000,0.6898,76.4854,99.7490,0.4974,83.5100,99.7700
344,0.1150,96.2600,100.0000,0.1717,94.0762,99.9295,0.4186,85.3400,99.8200
348,0.2232,93.2635,100.0000,0.2591,91.0864,99.9071,0.5316,82.3100,99.8100
352,0.1046,96.5620,99.9253,0.4234,84.5560,100.0000,0.4374,85.0100,99.8300
356,0.1109,96.0650,100.0000,0.2731,89.6498,100.0000,0.5041,81.7500,99.8500
360,0.1338,94.4812,100.0000,0.3102,89.0065,99.9186,0.4210,84.5200,99.7100
364,0.0715,97.4863,100.0000,0.7130,77.6230,99.9180,0.5179,82.3400,99.8500
368,0.1158,95.8864,100.0000,0.1790,92.5446,99.9190,0.4440,85.7000,99.7800
372,0.0594,98.5270,100.0000,0.4195,84.2546,99.8325,0.3500,87.0200,99.8500
376,0.2095,93.3726,100.0000,0.3077,87.7588,100.0000,0.4587,82.4100,99.8500
380,0.1585,94.4532,99.9208,0.4483,80.6938,99.8492,0.4017,84.9200,99.8400
384,0.1861,92.5926,99.9074,0.1712,93.8589,100.0000,0.4632,83.6600,99.8900
388,0.1240,95.8915,100.0000,0.3499,88.4718,100.0000,0.4314,86.1000,99.8500
392,0.1888,92.6876,100.0000,0.3048,88.1275,99.9322,0.3832,86.0300,99.8700
396,0.1292,95.6747,100.0000,0.1849,92.8230,100.0000,0.4117,85.1600,99.8100
400,0.2116,92.3636,100.0000,0.2312,91.7692,100.0000,0.3213,88.4000,99.8400
404,0.0615,98.2308,100.0000,0.2650,90.9091,99.9142,0.4344,85.7000,99.6900
408,0.2055,92.4631,100.0000,0.5358,76.1538,100.0000,0.4518,83.0800,99.8300
412,0.2513,90.8200,100.0000,0.4870,79.9451,99.8168,0.3776,86.7200,99.7500
416,0.1036,96.7053,100.0000,0.6412,76.3238,99.7731,0.5024,83.5100,99.8100
420,0.2571,90.0668,100.0000,0.4651,82.5318,99.9293,0.4807,81.5900,99.8900
424,0.1091,95.8604,100.0000,0.4533,83.7979,100.0000,0.4104,86.6000,99.7700
428,0.3418,84.6658,100.0000,0.2653,91.0577,100.0000,0.3893,84.7300,99.8500
432,0.2068,92.9181,100.0000,0.3082,89.5430,100.0000,0.4003,86.0400,99.7900
436,0.0835,96.4010,100.0000,0.1366,96.3393,100.0000,0.5188,83.6300,99.5900
440,0.3748,85.6664,100.0000,0.4321,82.2016,99.9285,0.4786,81.3200,99.9100
444,0.1107,95.6619,100.0000,0.5199,81.6048,99.7729,0.4325,85.7200,99.8700
448,0.1229,95.3775,100.0000,0.6216,76.3686,100.0000,0.4208,84.3200,99.8300
452,0.2198,92.3905,100.0000,0.3563,85.6075,99.6262,0.3676,86.7500,99.8200
456,0.0639,98.2212,100.0000,0.3455,88.9901,100.0000,0.4829,84.9600,99.6800
460,0.0730,97.5048,100.0000,0.3416,85.7466,99.7738,0.4067,85.1400,99.9200
464,0.0513,98.6313,99.9145,0.6012,79.0386,99.8424,0.4438,84.6700,99.7600
468,0.1748,92.8395,100.0000,0.5807,76.1742,100.0000,0.4058,84.9800,99.7900
472,0.1085,96.2361,100.0000,0.5368,81.0739,100.0000,0.4320,85.6400,99.8100
476,0.0560,98.5999,100.0000,0.5201,81.2386,99.8179,0.5096,83.9800,99.7700
480,0.1744,92.9752,100.0000,0.1700,93.2261,100.0000,0.3851,87.2500,99.8500
484,0.0621,98.2537,100.0000,0.4026,86.5672,99.9122,0.4085,86.6000,99.8300
488,0.1276,94.9107,100.0000,0.6470,75.6993,100.0000,0.3887,87.1300,99.8500
492,0.1089,96.1116,100.0000,0.1776,93.7040,100.0000,0.3509,88.4000,99.8400
496,0.2134,92.5806,100.0000,0.2270,91.0753,99.9268,0.3921,86.0700,99.8500
500,0.1446,94.3734,100.0000,0.5304,80.1826,99.9087,0.4343,84.0800,99.8900
504,0.1593,94.2769,99.9227,0.4884,83.1158,100.0000,0.4033,86.0500,99.8200
508,0.1005,95.8261,100.0000,0.1052,95.9744,100.0000,0.5564,80.6800,99.8900
512,0.2085,92.1847,100.0000,0.2374,91.5063,100.0000,0.4033,85.4300,99.8500
516,0.0480,98.3137,100.0000,0.2390,91.2080,99.9285,0.6068,83.5100,99.7200
520,0.1658,94.2788,100.0000,0.1721,93.6170,100.0000,0.3829,85.7900,99.8800
524,0.1387,94.4728,100.0000,0.4174,84.7619,100.0000,0.3984,86.7400,99.8900
528,0.1151,95.5399,100.0000,0.7399,72.9309,99.9026,0.5533,80.2700,99.8600
532,0.1574,94.4844,100.0000,0.2941,89.2857,100.0000,0.3712,86.6200,99.9400
