round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,0.8710,70.5512,98.8976,1.5888,36.7222,96.7572,1.2236,55.2700,97.3100
8,0.5845,80.9562,98.9465,0.9224,66.9506,97.9557,0.8239,72.7300,98.4800
12,0.5309,86.5385,98.8095,0.6391,79.3924,98.1938,0.6665,78.0400,98.7800
16,0.3887,89.3170,99.3870,0.7827,74.4539,97.9107,0.6173,80.2400,98.8300
20,0.3490,91.3934,99.4262,0.5466,82.7173,98.8012,0.6283,79.6200,98.6800
24,0.2809,92.9231,99.6923,0.6508,79.0799,98.3507,0.5565,82.1900,98.8400
28,0.3976,88.9811,99.1698,0.4929,85.5496,99.1135,0.4377,87.6600,99.0000
32,0.2015,94.6309,99.5805,0.6315,78.8408,99.0922,0.4535,85.7900,99.0900
36,0.4189,87.7301,99.1236,0.4125,88.3948,99.3492,0.4523,86.5900,99.1800
40,0.3403,89.2051,99.1168,0.5362,83.0228,98.2747,0.4292,86.7600,99.0500
44,0.2722,91.8807,99.7514,0.2459,93.1398,99.7361,0.4824,84.7500,99.1400
48,0.2592,92.7956,99.6868,0.4607,86.1493,99.1159,0.4292,86.4000,99.1000
52,0.3703,88.9068,99.5177,0.3347,90.5847,99.3166,0.3788,89.0900,99.2500
56,0.2805,92.3015,99.6792,0.2987,91.6667,99.3590,0.3751,89.0300,99.2200
60,0.3216,90.5941,99.4224,0.3015,91.9103,98.9803,0.3768,89.3500,99.2200
64,0.3854,88.7526,99.3865,0.5273,82.1799,99.3080,0.3968,87.9200,99.2400
68,0.2170,93.6901,99.5208,0.2927,91.3542,99.6174,0.5069,82.8200,99.0200
72,0.2004,94.5231,100.0000,0.5347,82.1712,98.9699,0.4398,86.1300,99.2000
76,0.3223,90.2936,99.5922,0.4052,87.3485,99.1667,0.3559,89.4800,99.4500
80,0.3716,89.2157,99.0196,0.4074,87.5890,99.0844,0.3553,89.4000,99.2500
84,0.2136,94.4728,99.4048,0.4465,86.4786,99.1245,0.3776,88.6800,99.3700
