round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,2.0513,20.2731,79.7269,2.6111,15.2390,43.3267,2.5136,10.0000,50.0000
8,2.0421,20.3297,80.0000,2.5535,23.1602,62.8788,2.5995,10.0000,50.7789
12,2.1584,16.8578,69.0367,2.5577,5.8286,44.9143,2.4663,10.0000,50.0000
16,2.0905,23.8403,71.3053,2.3669,11.8437,48.5958,2.3734,14.0189,54.4656
20,1.8461,36.4865,86.0360,2.7390,15.2150,51.4884,2.6765,15.2389,56.7111
24,2.0429,31.2077,82.2222,2.2103,23.5012,75.5396,2.6320,10.0000,63.9189
28,2.0379,23.3950,78.7813,2.1263,20.3052,72.1831,2.1931,13.8000,68.6878
32,1.7922,26.5753,91.6438,2.5131,15.9538,64.3931,2.5632,14.8300,56.4256
36,2.0206,27.3719,79.2803,2.2126,17.7297,60.6486,2.2434,15.5489,68.9211
40,1.7986,38.4615,81.5385,2.3171,18.3879,62.5945,2.3809,16.3933,68.6644
44,1.8875,33.9744,82.3718,2.3729,7.9310,65.4023,2.2235,18.0711,70.8067
48,1.7835,37.1336,88.9251,2.1009,22.1111,78.8889,2.1935,21.1711,73.0822
52,1.7590,37.3102,90.6725,2.4397,22.7126,63.6168,2.5275,15.1611,65.0722
56,1.8936,29.2896,85.0273,2.0657,18.5099,77.8813,2.1112,20.4333,74.7689
60,1.8536,26.8018,85.5856,2.3165,9.3812,76.5469,2.1159,16.7533,78.0322
64,1.7559,39.3333,87.7778,2.2085,15.9405,84.8034,2.2505,18.9689,74.7433
68,1.6415,32.3429,94.1714,2.2534,14.6958,67.0494,2.1629,19.0511,70.9444
72,1.7762,32.7703,89.5270,1.9815,29.2835,80.0623,2.0299,25.2456,79.7622
76,1.6987,39.9321,86.7647,2.2237,20.4103,80.2051,2.2376,20.7011,77.0544
80,1.8119,32.9032,86.3441,1.8945,29.2343,82.9466,1.9558,25.1178,80.5278
84,1.5945,39.1304,90.0966,2.2430,17.5751,74.9722,2.0882,21.8033,77.9533
88,1.7800,31.0702,91.1392,2.1476,23.0058,68.4393,2.0433,24.6078,77.6844
92,1.5792,39.8176,92.2999,2.0617,30.4017,76.6558,2.0521,25.5833,80.2000
96,1.6303,39.6552,92.2921,2.1347,20.5618,77.0787,2.0198,25.0256,79.0322
100,1.6103,41.9528,91.2017,1.8902,24.9708,85.4142,2.0453,22.3144,82.0089
104,1.7674,34.3578,88.8035,2.1876,19.0223,81.2965,2.1460,22.6056,78.7878
108,1.7518,33.4047,91.1135,2.0727,18.8209,84.5805,2.1051,20.7489,80.2411
112,1.7659,32.6861,88.4574,1.9512,23.5746,81.7982,1.8582,26.4033,85.1622
116,1.5980,42.2472,92.4719,2.0982,21.1646,80.5151,2.1046,23.9322,78.9156
120,1.4618,48.0477,94.2516,1.7105,34.9138,89.9784,1.9991,26.1956,80.8911
124,1.4369,49.7886,91.9662,2.3532,15.0108,76.6739,2.1545,25.4489,79.4022
128,1.5315,40.8931,92.5969,2.2224,26.3904,78.8441,2.1529,20.9511,82.0344
132,1.5919,42.4242,90.6158,2.0043,17.5474,85.3440,1.9640,24.8144,83.2744
136,1.5474,44.8546,93.7360,2.2837,19.5584,70.8728,2.0985,24.1322,80.8144
140,1.7216,35.8302,90.2622,2.1108,12.1324,82.2304,1.9792,22.9144,83.6289
144,1.6221,34.3716,92.3738,1.9038,27.0023,85.4691,1.9084,25.1956,84.5967
148,1.5613,43.2401,90.7925,1.9380,22.1971,88.2220,1.9489,27.0111,83.7456
152,1.5624,43.7568,91.3138,2.0265,24.9135,83.8524,1.9265,27.6678,84.2833
156,1.6082,41.3613,90.6806,1.9788,21.1600,87.2180,1.9870,23.4256,84.0633
160,1.4657,48.4103,94.7692,2.1756,28.0952,85.0000,2.2923,24.1122,83.4456
164,1.6920,37.8293,89.3572,1.9821,24.7346,83.7580,1.9514,25.9756,84.5744
168,1.4986,44.7816,93.3252,2.1804,19.3170,81.2166,1.9726,26.9711,84.1900
172,1.5084,45.9459,93.1892,1.9863,27.0237,79.7011,1.8367,31.9756,84.3022
176,1.2793,55.8113,95.5121,2.0190,23.9264,85.6442,2.0511,27.3967,82.9544
180,1.5877,34.5806,94.8387,2.0460,28.1609,80.9195,1.9507,26.4178,85.2989
184,1.5585,40.8981,92.9612,1.8957,25.9132,87.8995,1.8853,28.1844,85.8756
188,1.6252,40.5319,91.4894,1.8784,29.9065,86.5005,1.9294,26.4511,86.1422
192,1.7291,35.1382,90.6682,1.9199,30.6727,82.0981,1.8461,30.3033,85.8733
196,1.6036,38.0844,93.6146,1.7638,33.1454,88.6133,1.8004,30.2644,87.0433
200,1.5024,43.9243,92.1315,1.5508,41.5541,92.0045,1.8317,29.6167,86.5089
204,1.5213,43.3437,92.9825,1.7063,38.4358,87.7095,1.8939,30.1856,85.3789
208,1.5802,38.5194,92.9737,1.8985,29.0247,86.6040,1.9046,28.4178,85.1233
212,1.5443,43.6133,91.2543,1.6376,37.2657,92.8335,1.8341,30.0522,86.8433
216,1.5607,39.5722,93.1551,2.1395,17.1369,81.8182,1.8754,29.4322,86.4867
220,1.5996,40.5244,92.0143,2.1348,21.5563,87.1714,2.0476,23.6544,85.8056
224,1.4676,43.9873,92.1941,2.1383,25.7647,75.8824,1.9664,28.1167,82.8378
228,1.4746,43.3136,91.3609,2.1338,21.3447,79.5091,1.9641,28.3122,84.0733
232,1.6192,41.4053,91.2171,1.7095,38.6000,87.1000,1.7335,34.9644,87.4589
236,1.4230,46.4531,95.0801,1.6262,44.2663,90.0123,1.8891,29.1567,87.1478
240,1.3928,51.4640,94.8198,1.8998,30.9267,82.4353,1.8196,34.3956,84.1500
244,1.4035,50.1591,92.6829,2.4099,18.5799,72.7811,2.0178,29.3044,82.7167
248,1.5482,41.4634,92.9152,1.9190,28.6188,88.5083,1.9266,26.6522,87.9344
252,1.3972,47.7632,94.0789,1.7665,37.0968,86.0599,1.7653,35.3744,87.6967
256,1.4444,43.9825,95.2954,1.7751,35.8511,83.4043,1.8426,32.5167,84.8811
260,1.4514,48.5798,93.4378,1.7519,36.7975,89.9258,1.9938,29.0600,86.3411
264,1.4867,47.1154,92.8419,1.7360,33.7093,88.3459,1.8226,31.4578,87.2067
268,1.5231,46.7970,90.6623,1.7600,33.8728,88.6705,1.7153,36.2800,88.7222
272,1.5285,43.3400,94.0358,1.8459,30.4752,85.3306,1.7349,35.1589,87.8767
276,1.4801,45.1737,93.9189,1.8319,30.2405,88.2016,1.8452,31.2467,86.9011
280,1.4725,45.1374,93.5518,1.7589,35.4726,89.6149,1.7869,32.4778,88.7578
284,1.3576,51.0135,93.9189,1.6920,33.4405,89.0675,1.8413,32.6111,86.0211
288,1.5152,45.0168,91.0414,1.5944,40.7827,91.3491,1.6760,37.4022,89.2067
292,1.3947,44.5312,96.8750,1.9676,30.6977,86.9767,2.0194,27.6933,87.7967
296,1.5632,40.8269,91.0853,1.5371,39.0869,93.8753,1.6562,38.3689,89.5633
300,1.4386,48.0208,90.6250,1.6009,38.7912,91.5385,1.7793,33.2422,87.9578
304,1.5065,42.0513,91.9231,1.6384,41.0913,90.3118,1.6540,38.3256,89.9067
308,1.4642,44.0191,95.0957,2.0650,22.4638,82.2464,1.8469,30.8889,86.5222
312,1.4005,49.4518,93.8596,1.8611,31.0134,86.9353,1.8002,34.4067,87.7933
316,1.4598,44.7336,92.4411,1.9247,29.8969,84.6392,1.7405,36.7511,87.6489
320,1.3083,51.5864,96.3572,1.9621,31.2693,85.5521,1.9858,30.4489,83.9211
324,1.2968,55.0602,95.3012,1.6739,37.8723,90.9574,1.7751,35.4833,88.0633
328,1.5047,44.4570,91.7421,1.6189,41.4063,89.7321,1.7274,36.1756,88.6378
332,1.3547,49.5706,93.1288,1.7428,28.8317,90.5681,1.8575,33.5178,87.4356
336,1.4839,44.3155,93.5035,1.6469,39.3972,89.2357,1.6850,36.7389,89.8622
340,1.1575,59.0374,96.8984,1.5327,42.2122,92.8894,1.7216,37.9978,88.3622
344,1.3172,53.0547,95.1768,1.6599,39.2896,90.9580,1.7757,34.8533,88.3678
348,1.2919,50.8046,94.2529,2.1216,23.5979,81.3757,1.8081,34.5756,86.7644
352,1.3666,50.6039,93.8406,1.5825,41.8730,90.6351,1.7201,36.6500,89.1978
356,1.0830,60.2436,96.1240,2.1103,35.8388,83.2244,1.8604,37.4111,86.1811
360,1.4721,44.6367,93.0796,1.6250,40.5876,89.2274,1.6370,39.3467,89.6144
364,1.3299,50.8794,95.2261,1.5635,42.9204,91.9248,1.7376,38.0567,87.4600
368,1.0990,62.2622,96.8288,1.8590,33.9564,88.6812,1.9271,33.7244,85.6144
372,1.4447,47.4973,92.8647,1.6690,38.9595,89.1329,1.6516,38.8256,89.3900
376,1.4127,48.2843,92.1569,1.5867,39.6465,91.5404,1.6461,38.1589,89.4778
380,1.2387,53.3480,96.5971,1.7788,36.6632,90.6282,2.0361,31.2744,86.8533
384,1.4034,47.1250,93.1250,1.5830,43.3054,90.5858,1.6222,40.1578,90.3078
388,1.2617,56.3243,95.2432,1.6261,44.0334,90.0955,1.8302,35.4867,88.5022
392,1.3109,49.5360,95.3596,1.8634,35.8763,92.1649,2.0522,31.2978,88.6167
396,1.4072,49.0394,92.7199,1.6996,36.1446,90.1424,1.6873,38.6244,89.8067
400,1.3493,52.9025,94.8521,1.6116,42.3383,91.0329,1.8078,35.1800,88.0889
404,1.3484,52.7742,92.9032,1.9701,29.7773,85.5803,1.7529,38.6689,88.5467
408,1.3384,50.2212,94.3584,1.7466,37.5879,88.2412,1.6081,39.9444,90.6633
412,1.2675,55.1648,95.7143,1.5337,43.7710,92.8171,1.8112,35.6456,88.3533
416,1.5037,49.2672,94.3630,2.2128,30.6122,85.3741,2.0526,33.2078,87.8244
420,1.2015,58.6931,96.4994,1.9182,34.1137,90.7469,1.9797,31.9322,89.7300
424,1.3810,48.9130,95.5435,1.8467,36.8528,88.2233,1.7724,38.0689,89.6356
428,1.2918,51.0096,95.7492,1.4962,43.8138,95.1192,1.9318,32.8578,87.8289
432,1.4881,45.6499,92.9376,1.4423,46.9556,92.6729,1.5850,41.8011,90.5911
436,1.3152,49.1189,95.0441,1.7135,37.5127,89.0928,1.7873,35.7067,89.6278
440,1.2374,55.3061,95.0000,1.8904,35.7995,85.9189,1.7337,39.1500,87.8789
444,1.3388,47.3404,95.2128,1.4550,46.3134,92.3963,1.6260,40.6467,90.7567
448,1.3806,49.5699,93.8710,1.6418,41.8060,88.6288,1.6972,39.5422,89.2378
452,1.3233,51.9177,94.3873,1.3466,52.0157,93.7070,1.6562,41.1522,89.0467
456,1.3101,49.3896,96.3374,1.8188,36.0465,87.6321,1.6961,40.2500,88.9644
460,1.3697,53.6791,95.7780,2.0940,29.1262,90.2913,2.0972,29.2789,91.0378
464,1.4065,48.0240,94.8503,1.3817,49.0105,93.2480,1.6540,40.9567,90.5189
468,1.3790,49.1897,93.6130,1.4190,48.8058,92.2118,1.5683,42.5744,91.1878
472,1.1630,57.1272,96.7105,1.6214,43.0449,90.2519,1.6964,39.7844,89.8300
