round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,2.2923,15.0210,62.6050,2.3064,4.5817,46.4143,2.3019,11.8967,50.1200
8,2.2936,17.1429,57.0330,2.3113,0.3247,42.3160,2.3006,10.3400,50.1900
12,2.2965,6.1927,60.0917,2.3060,11.6571,41.6000,2.2992,10.0000,51.8856
16,2.2895,11.7584,54.2611,2.2912,18.0708,56.6545,2.2985,10.1189,50.2889
20,2.2521,28.8288,71.7342,2.2974,10.0331,54.2448,2.2967,10.0067,50.7500
24,2.2723,7.9227,62.1256,2.2453,22.0624,73.6211,2.2954,10.1211,51.1089
28,2.2890,15.9956,53.8629,2.3152,16.0798,44.8357,2.2949,15.3578,50.7300
32,2.1162,22.3288,81.2329,2.3406,8.5549,60.1156,2.3687,10.0000,51.8156
36,2.2375,16.9029,62.8135,2.3853,13.5135,68.9730,2.4312,10.0000,51.0222
40,2.0669,31.9527,76.3314,2.5471,16.4987,45.3401,2.6447,10.0000,52.3922
44,2.1397,22.1154,72.2222,2.5601,3.7931,48.0460,2.4589,10.0000,50.0089
48,2.0773,18.3496,77.8502,2.3089,7.3333,58.7778,2.4167,11.0389,50.0000
52,2.0928,29.7180,77.3319,2.6482,15.9311,58.7729,2.7825,10.0000,52.1956
56,2.1749,18.0328,68.7432,2.4868,6.4028,35.5064,2.3873,10.0000,50.4267
60,2.1503,13.7387,75.2252,2.6269,6.4870,26.1477,2.4038,10.0000,51.8622
64,2.1251,26.0000,76.7778,2.4335,13.0712,62.2742,2.5673,10.0000,50.0000
68,1.9430,24.0000,87.5429,2.5892,9.9885,43.7428,2.4865,12.1511,50.0022
72,2.2053,17.2297,71.5090,2.3088,12.9803,62.2015,2.3858,10.0000,53.6256
76,2.0598,24.4344,75.0000,2.5318,13.3333,54.9744,2.5326,10.0033,52.3522
80,2.1854,18.0645,73.4409,2.2779,12.1810,61.8329,2.3444,10.0089,53.7489
84,2.0564,21.8599,84.5411,2.4999,12.3471,42.9366,2.3999,10.0000,53.8533
88,2.1539,21.8642,77.5604,2.3883,19.4220,54.3353,2.3641,11.6078,56.7133
92,2.0758,26.8490,69.6049,2.4171,17.1553,56.4604,2.3936,15.6189,50.1033
96,2.0843,18.1542,78.7018,2.5766,14.9438,42.9213,2.4529,10.3222,55.0378
100,2.0399,27.6824,78.3262,2.2750,18.0863,65.4609,2.4475,12.7022,54.6411
104,2.1408,20.9660,68.0571,2.4975,7.1201,49.4155,2.4951,10.0000,50.9622
108,2.0302,26.4454,82.0128,2.3110,10.6576,67.9138,2.4388,10.0089,55.5589
112,2.1923,22.2222,69.5793,2.3481,13.7061,54.3860,2.2550,14.3478,63.6211
116,2.0020,22.9213,83.1461,2.3922,6.0470,60.1344,2.4015,11.4667,57.6111
120,2.0141,25.0542,79.5011,2.3966,16.7026,57.7586,2.5915,10.7444,54.8367
124,1.9320,27.1670,84.9894,2.6755,5.5076,51.2959,2.5626,10.4044,57.5578
128,1.9695,25.2644,87.4266,2.4606,22.1374,52.6718,2.5806,10.6678,55.6100
132,2.0212,23.3627,80.5474,2.3699,5.7827,62.9113,2.3096,13.4178,58.2167
136,1.9442,30.7606,80.7606,2.5416,14.9317,44.0589,2.4029,14.9778,57.7067
140,2.0620,24.2197,79.7753,2.4176,4.6569,60.7843,2.3178,13.4689,62.1189
144,2.0435,21.8045,79.8067,2.2476,14.1876,61.6705,2.2993,12.0722,60.1456
148,2.0244,28.5548,73.8928,2.3514,13.9298,56.2854,2.3129,13.3833,62.2333
152,1.9500,27.4701,82.9533,2.3887,10.0346,56.2860,2.2705,15.8567,63.7411
156,2.0006,28.4817,77.2775,2.3371,10.2041,66.3802,2.3240,13.6033,63.2689
160,1.9188,35.8974,82.7692,2.4208,17.6190,57.5000,2.4515,14.9156,63.7478
164,2.0836,24.2360,78.8198,2.4111,15.6051,62.7389,2.3536,14.0444,64.3400
168,1.9007,34.4660,85.1942,2.4793,11.8463,60.9392,2.3122,17.4722,62.2333
172,1.9744,28.7568,80.9730,2.3614,17.6837,51.6812,2.2424,18.2811,62.8967
176,1.7380,40.0460,88.6076,2.3899,13.0061,70.7975,2.4355,14.0611,61.7289
180,2.0027,21.9355,87.3548,2.3904,8.3908,52.8736,2.2666,14.5611,65.2767
184,1.9688,28.7621,81.5534,2.2740,17.4658,65.5251,2.2190,17.5100,67.6633
188,2.0223,29.8936,76.0638,2.2583,23.6760,63.1360,2.2821,17.5300,62.8122
192,2.0424,20.8525,81.5668,2.3826,8.6659,57.3546,2.3055,14.1511,63.6189
196,2.0252,23.0331,80.7298,2.1485,16.5727,75.3100,2.2061,15.9433,68.8589
200,1.9665,27.2908,84.3625,2.0307,32.3198,73.3108,2.3276,17.2722,61.8256
204,1.8540,35.7069,86.8937,2.0132,30.8380,71.2849,2.2451,19.3011,66.3889
208,1.9410,29.8620,84.8181,2.2955,10.6933,65.2174,2.2428,16.4633,67.1633
212,1.9846,28.4235,79.1715,2.0955,25.0276,77.7288,2.3084,17.1633,65.1333
216,1.9907,28.7701,79.8930,2.4879,10.4493,56.8443,2.2308,19.6811,67.6956
220,2.0334,26.4601,84.6246,2.6233,5.1525,61.6193,2.4337,10.0022,69.6278
224,1.8656,32.9114,85.1266,2.3708,16.0000,59.8824,2.2683,18.3678,66.5822
228,1.9125,30.0592,80.5917,2.4884,9.7118,57.5240,2.3434,12.4144,66.2711
232,2.0329,23.4630,79.6738,2.2121,18.4000,72.2000,2.2027,15.8889,70.0189
236,1.9203,29.5195,86.1556,2.1801,22.4414,73.3662,2.3047,14.8367,68.1644
240,1.8746,34.6847,85.4730,2.3938,13.9009,62.1767,2.2400,19.3411,69.3778
244,1.8615,30.3287,85.2598,2.6724,10.1775,51.2426,2.3527,16.5211,67.1678
248,1.9991,23.2288,82.4623,2.2348,13.9227,69.2818,2.2072,13.2544,70.4211
252,1.9003,30.6579,82.8947,2.3161,21.6590,72.0046,2.2643,18.3322,72.0144
256,1.8657,29.3217,87.0897,2.1512,24.0426,67.8723,2.1824,17.7600,69.9356
260,1.8188,34.6719,86.3859,2.1012,21.4210,78.1548,2.2585,16.5733,71.4056
264,2.0260,30.7692,78.8462,2.2163,21.9298,75.8145,2.3268,16.7311,70.2022
268,1.9962,27.6873,75.5700,2.2002,19.5376,69.1329,2.1724,20.1200,71.4511
272,1.9438,23.9563,84.2942,2.4653,4.5455,54.0289,2.2550,15.4844,68.4122
276,1.8636,33.2046,87.7413,2.1931,15.4639,70.2176,2.2347,16.5178,67.9711
280,1.9764,27.2727,79.9154,2.1919,17.7363,68.0280,2.1580,16.2333,73.7556
284,1.8750,29.3919,85.9234,2.1305,18.1136,72.2401,2.2202,15.6978,68.9900
288,2.0194,24.8600,76.5957,2.0709,29.6601,74.1504,2.1507,21.3678,71.0633
292,1.7678,32.0312,88.8393,2.2875,23.6047,75.2326,2.4346,15.9822,69.5756
296,2.0106,28.8114,75.7106,2.0506,24.4989,75.5011,2.1123,19.9089,72.7044
300,1.9476,31.7708,82.0833,2.1280,16.3736,77.5824,2.2591,15.5056,68.7900
304,2.0531,27.5641,77.9487,2.0209,22.8285,81.4031,2.0934,21.9244,75.8767
308,1.9407,29.3062,83.1340,2.2957,12.8019,64.4928,2.1859,17.0656,70.3656
312,1.8934,32.3465,85.4167,2.2386,11.3553,67.7656,2.1668,18.5189,71.6967
316,1.9186,27.5093,81.0409,2.2767,15.6701,64.0206,2.1237,20.5944,72.2333
320,1.7517,37.7203,90.3643,2.3192,17.4407,62.7451,2.3130,17.1167,66.1167
324,1.7673,36.1446,86.9880,2.1152,25.6383,77.2340,2.3059,19.1422,69.1767
328,1.9601,30.8824,79.6380,2.2034,17.0759,75.3348,2.2170,18.5256,72.9778
332,1.7882,36.1963,86.6258,2.2214,14.6838,76.4201,2.3385,19.0778,72.1822
336,1.9722,24.9420,82.8306,2.1985,14.8547,73.4123,2.1823,17.9744,72.2278
340,1.7764,35.9358,89.7326,2.1154,17.0429,76.0722,2.1598,21.1689,70.8167
344,1.8460,35.0482,85.4234,2.1030,23.8967,76.6415,2.2099,20.3544,70.1844
348,1.7980,36.2069,86.5517,2.4963,6.5608,63.4921,2.2295,21.7467,69.1544
352,1.8710,29.5894,85.8696,2.1295,20.0215,74.2734,2.1653,18.7600,72.1200
356,1.6248,43.4109,88.9258,2.4921,18.8453,66.1220,2.2922,21.8256,71.7733
360,1.9476,27.9123,82.9296,2.1256,23.6126,71.3819,2.0991,20.0033,73.9678
364,1.7919,34.4221,89.5729,2.0634,18.9159,79.3142,2.2082,21.7689,71.2467
368,1.6035,41.6490,91.5433,2.1992,20.8723,75.1817,2.2767,21.6822,71.0956
372,1.9637,27.4760,81.8956,2.0950,15.2601,73.9884,2.0684,20.5400,75.6056
376,1.9656,25.4902,81.9853,2.0394,18.4343,79.7980,2.1053,19.2911,75.3833
380,1.7682,32.9308,89.9012,2.1574,11.7405,75.5922,2.2786,17.8922,70.9889
384,1.9337,27.0000,83.1250,1.9905,29.7071,75.1046,2.1130,21.5444,73.2567
388,1.7364,43.1351,86.9189,2.1586,25.0597,72.3150,2.3227,19.4989,74.7811
392,1.8207,31.5545,89.5592,2.1548,14.1237,78.0412,2.2900,17.4456,71.1489
396,1.8917,31.2437,86.9565,2.1102,20.8105,75.3560,2.0994,24.5300,74.1756
400,1.8654,37.3494,84.1183,2.4117,22.0204,67.7639,2.4111,17.4300,70.7411
404,1.8753,31.6129,82.8387,2.4006,10.5510,71.8640,2.2089,20.5189,74.7578
408,1.8942,32.9646,82.6327,2.1556,16.5829,74.0704,2.0622,22.5656,76.3822
412,1.7944,36.0440,89.3407,1.9112,26.7116,89.7868,2.2407,18.4756,71.7656
416,1.7593,38.5569,89.5152,2.7273,15.7596,52.3810,2.3608,18.8867,71.3711
420,1.7082,40.2567,91.5986,2.2458,22.5195,70.6800,2.2881,17.7400,72.0089
424,1.8099,29.8913,87.3913,2.1692,21.0152,76.5482,2.1588,20.2744,75.3756
428,1.7569,36.3443,88.4166,1.9119,29.6254,84.4495,2.1840,19.7889,73.5856
432,2.0033,23.1320,80.3480,2.0448,20.4334,81.2178,2.1140,18.1389,74.3422
