round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,1.5297,53.3737,95.6747,1.9897,20.5854,76.4878,1.7251,38.6600,87.3000
8,0.8398,76.2739,98.7261,1.5231,48.9064,97.7253,1.6192,45.0700,96.3000
12,0.8849,67.7240,98.4933,0.9946,59.9650,98.6888,1.1618,56.9700,97.8600
16,0.8952,71.3689,99.0818,0.9844,68.8455,98.2173,0.9775,67.4200,98.6300
20,0.6195,81.1103,99.2790,0.6450,78.9923,98.8898,0.8684,68.0600,99.1700
24,0.6561,76.1373,99.5211,0.9202,69.3923,99.5499,0.9051,66.0300,99.2600
28,0.4916,81.9129,99.6212,0.7794,70.9302,99.3739,0.7678,71.3500,99.3800
32,0.4261,86.4643,99.8359,0.9420,60.4563,99.1445,0.8286,69.1300,99.1000
36,0.5621,77.3604,99.7970,0.7936,63.0366,99.2846,0.6878,71.7300,99.3300
40,0.5118,80.8362,99.8258,0.4969,85.0983,98.4871,0.7240,71.9600,99.4000
44,0.7145,71.3765,99.8177,0.7155,69.9187,99.2683,0.6886,72.3200,99.2900
48,0.5293,79.3966,99.7414,0.9599,55.4878,99.3902,0.7675,68.4200,99.4300
52,0.6043,77.3231,99.8295,0.7598,68.8368,99.8264,0.9416,61.4900,99.3500
56,0.4747,82.5680,99.7449,0.7514,72.1530,99.5844,0.8133,68.2100,99.3200
60,0.5539,78.9260,99.7559,0.6926,74.5673,99.4733,0.7553,72.6600,99.4200
64,0.7409,70.0543,99.8448,0.7433,71.8272,99.5500,0.7383,70.3600,99.4300
68,0.5800,75.8234,100.0000,0.3334,89.9816,99.6324,0.6454,73.8000,99.6000
72,0.3422,88.9961,99.7104,0.8126,62.1044,99.1297,0.8252,67.2700,99.4200
76,0.4562,82.9431,99.9164,0.9464,53.0736,99.7403,0.7251,67.0800,99.5300
80,0.6097,73.8671,99.8489,0.7485,71.6667,99.4444,0.6634,74.1800,99.5300
84,0.5921,77.4851,99.9150,0.6241,73.2383,99.4128,0.5623,77.6300,99.6900
88,0.4731,82.3417,99.4242,0.6641,72.7547,99.6226,0.6228,75.2300,99.6200
92,0.4420,82.3682,99.8271,0.6694,73.3017,99.6051,0.6301,75.8800,99.6000
96,0.4805,82.6715,99.8195,0.5082,80.7363,99.4007,0.6308,76.0900,99.6500
100,0.4619,85.1096,99.9244,1.0294,66.0125,99.7324,0.8525,72.2700,99.6300
104,0.3757,85.4152,99.4946,0.4282,87.2276,99.5492,0.6039,77.6200,99.6200
108,0.4476,82.9616,100.0000,0.7798,70.8872,99.4832,0.6624,74.6800,99.5600
