round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,1.9891,29.7601,72.9385,2.7963,0.0000,46.6615,2.7390,9.5800,49.2300
8,2.3701,31.8721,84.1096,3.5441,0.0000,32.7521,3.1282,11.3500,58.2700
12,2.0058,18.7547,84.8462,2.6088,21.1324,68.1021,2.6738,11.3500,51.3000
16,1.7175,31.1612,92.8154,3.5660,12.3288,29.9658,3.1977,8.9200,51.8800
20,1.4763,52.7626,100.0000,3.6974,18.4569,63.3132,4.3210,10.0900,51.8500
24,1.8249,28.3291,88.3800,2.1699,13.3114,68.4470,2.5728,13.3700,54.4100
28,2.6894,29.7812,74.8811,3.6597,7.3344,37.2240,3.5154,11.3500,53.4700
32,2.0246,22.9097,86.9565,2.8194,5.2321,53.8397,2.6927,11.3500,54.2300
36,1.5041,55.2539,100.0000,3.1415,30.2609,38.0000,2.9941,21.5500,51.6300
40,2.2729,37.1617,74.4696,2.5856,20.4912,81.4275,3.1074,9.5800,55.6800
44,1.9547,28.5188,84.4510,2.9306,16.3462,32.9545,2.7442,9.8000,55.1800
48,1.9741,25.9857,84.3190,2.7804,0.0000,70.3498,2.7555,10.6300,65.2100
52,1.7956,29.2814,89.3217,2.8631,0.8007,41.4591,2.6234,12.7600,53.1800
56,1.6197,37.1976,98.1855,3.9912,0.0000,49.4226,3.4440,9.8000,56.7400
60,2.1560,29.0686,86.2845,2.4084,16.0311,87.0039,2.7302,9.8200,71.3800
64,1.8029,25.6553,87.0532,3.0844,0.2566,51.0693,2.6123,10.0000,55.5900
68,1.6221,29.4710,100.0000,2.8441,10.5792,65.3282,2.9263,10.0900,50.0900
72,1.4997,35.2490,100.0000,2.4731,23.0244,69.5610,3.2122,10.3200,51.4500
76,1.7270,37.6316,100.0000,3.9350,7.7973,39.6686,3.6435,10.0900,51.1300
80,1.9118,46.7089,100.0000,4.0249,12.8418,68.5170,4.6743,10.2800,54.4100
84,1.6140,41.5835,96.1484,2.5041,18.4830,80.8195,2.9440,14.3800,63.1000
88,1.7373,35.9806,91.8963,3.0059,0.0000,59.7692,2.9062,8.9200,55.9600
92,1.8621,31.2953,92.0354,2.2464,21.1604,83.8737,2.9443,9.5800,51.7200
96,1.8948,27.0009,93.7555,3.3309,0.1962,66.1871,3.1240,11.4400,70.2500
100,1.9900,27.7875,83.9721,2.9697,5.5449,59.3690,2.6825,10.3000,62.7000
104,1.7404,26.3244,87.8566,2.4397,14.6782,56.7504,2.5926,10.0200,50.8300
108,2.2911,24.1660,83.3210,3.1925,18.5902,65.5306,3.5680,12.0500,57.1800
112,2.3323,23.2799,75.4948,2.9699,5.2754,66.6408,2.8854,10.2800,67.0200
116,1.7064,28.7409,91.6058,2.8614,2.5195,41.7029,2.5716,11.8500,51.7400
120,1.4594,52.8253,100.0000,3.7370,20.3922,47.8431,3.6320,18.5700,53.3600
124,1.6485,40.8796,98.1255,2.3840,14.9562,74.0652,2.2996,17.7700,73.0600
128,1.9093,25.8464,82.9893,2.2074,9.6326,76.1668,2.4114,10.7700,59.4700
132,1.8587,64.9437,87.2763,4.4458,13.9078,66.9690,4.0245,20.4900,64.4900
136,1.8726,28.1885,82.8595,2.3936,7.2807,65.2632,2.3423,18.3700,60.4800
140,1.4932,31.0881,96.0276,1.9378,29.4745,85.7143,2.7921,11.8400,56.1700
144,1.7741,32.3944,88.0282,2.9436,7.7146,66.1524,2.8143,9.8200,65.1200
148,1.6376,48.0155,87.8993,2.4017,30.1671,60.4222,2.7656,18.7400,59.1200
152,1.9383,29.1636,81.8653,2.0443,29.3343,79.4036,2.2502,21.7800,67.9800
156,1.6169,52.1226,87.8931,2.1608,31.9249,57.5117,2.2309,28.9900,60.6700
160,2.0935,25.5626,82.5383,2.6601,4.9168,80.9380,3.1096,8.9300,64.2100
164,1.4904,38.6345,100.0000,2.6052,19.5595,58.6784,3.1019,11.1500,57.5100
168,1.9356,27.6261,84.8635,1.9947,16.0870,83.9130,2.5857,11.6000,64.5900
172,1.9798,29.0563,81.4570,2.4200,0.8765,87.9681,2.2697,19.8800,70.5700
176,1.6670,42.3951,91.2587,1.9415,38.1690,79.9296,2.6084,21.1800,63.4400
180,1.4438,36.2601,99.5979,3.4459,0.0000,30.0405,2.6846,12.6400,62.1700
184,2.1727,19.1220,86.2351,3.6005,0.0750,43.3283,2.7710,11.1300,68.6300
188,1.5100,46.3742,97.8514,2.4387,32.3988,71.1059,2.8368,16.4900,56.5200
192,1.2403,50.7317,100.0000,3.6735,7.4442,59.5533,3.5616,14.3000,54.4000
196,1.9851,34.8003,98.9405,3.3454,0.0000,74.4354,3.4872,8.9200,74.1100
200,1.7281,31.4655,97.7586,3.3222,0.0000,65.2973,2.8051,10.0900,70.6600
204,1.6796,32.1600,93.0400,1.8779,15.9699,90.9699,2.4806,14.5200,68.5600
208,1.2726,61.8817,99.6120,3.2872,19.0802,63.6986,3.4328,19.0700,66.6800
212,1.5582,54.8176,98.3162,3.4394,32.9828,55.8317,3.2720,18.4200,73.6000
216,1.7819,35.7749,87.4325,2.4897,1.6551,73.8676,2.3642,17.7900,76.1200
220,1.6770,30.0462,92.0647,2.5276,0.5474,76.2774,2.5561,10.1300,65.8100
224,2.1794,40.4145,88.2556,2.9247,20.8855,86.9674,3.9563,8.9200,69.2800
228,1.5485,41.1867,90.1396,2.2317,10.0865,70.7012,2.2742,20.5700,64.6400
232,1.8654,41.4013,98.2712,3.4007,7.7312,76.4451,3.4913,10.2800,77.9400
236,2.1317,26.3238,98.7897,3.0298,9.0580,72.4638,2.9814,11.7600,70.0800
240,1.5130,57.0735,90.4993,2.9644,12.3860,53.7234,2.3355,30.5900,71.5600
244,1.3404,51.7350,94.6372,2.6769,25.7418,59.1988,2.8607,21.7700,67.2700
248,2.2059,42.1008,85.7387,3.9646,0.0000,67.1679,3.5579,10.3200,83.5200
252,1.7247,47.0490,84.1230,1.7780,49.9228,80.0926,2.3859,23.5900,64.0900
256,1.1429,67.5388,99.9031,3.4864,22.5781,48.8281,2.8514,27.2800,56.1500
260,1.7102,38.1271,87.6254,2.3833,24.5225,66.9977,2.4328,18.5100,69.1200
264,1.7749,31.6940,89.1491,2.9375,0.3393,47.7523,2.6514,9.9600,66.6800
268,2.0700,32.7155,91.7516,3.7289,0.1570,69.0738,3.3559,10.1300,73.4700
272,1.9034,30.2225,72.8643,4.2669,24.7764,37.0304,2.6611,20.4500,61.4700
276,1.7301,45.3010,95.2482,2.8845,20.3330,81.7704,3.0008,14.3900,78.0200
280,1.7392,45.3978,84.3214,2.3996,30.4314,66.2745,2.4413,22.5400,69.6900
284,1.5235,39.2483,97.9021,2.2703,23.5115,71.9847,2.2674,15.1900,77.7800
288,1.8385,37.3573,89.8858,2.8882,23.7257,65.8943,2.5673,19.1300,76.7800
292,2.0201,34.7128,92.0608,3.3798,0.0000,63.2353,2.9081,8.9300,73.2900
296,1.9390,52.6063,87.8107,4.9589,10.5618,50.6367,4.4752,10.3200,65.3700
300,1.9025,40.1251,88.6506,2.1336,23.6257,85.0131,3.1022,11.6200,70.9900
304,1.1106,55.6882,99.8596,3.1418,7.8927,61.0103,2.7753,18.5200,70.2400
308,1.3810,35.5024,98.4689,3.2377,11.4828,65.2803,2.7890,17.1100,77.9300
312,1.7903,35.2582,95.9918,2.6595,11.5385,75.0447,2.6809,14.1600,74.8000
316,1.6205,33.0407,99.5211,3.2072,12.0462,61.8812,2.8997,16.0600,70.9600
