round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,1.7105,41.8079,92.7495,3.9665,0.0000,70.3191,3.9331,10.0000,50.0100
8,1.7349,31.2687,100.0000,3.4091,27.4545,53.1818,3.3751,10.0100,50.0000
12,2.1175,25.1894,75.1894,3.3727,0.0000,22.4924,2.6748,10.0000,50.0000
16,2.1322,21.4552,91.4179,4.3584,6.5175,44.2607,3.3245,10.0000,50.0000
20,1.9806,27.0115,90.4598,4.0078,0.0000,39.2250,3.4140,10.0000,50.0000
24,1.9537,34.1246,91.3947,3.4196,0.0000,43.3982,2.9704,10.0000,50.0000
28,2.3267,23.8734,75.2637,2.5299,40.0697,77.5261,3.3302,10.0000,50.0000
32,2.1896,17.4737,81.2632,3.6332,0.0000,29.2840,2.9128,10.0000,50.0000
36,2.2885,24.1063,74.8854,2.8665,7.6004,64.6037,2.9605,10.0000,50.0000
40,2.1326,31.1377,71.8563,1.9576,21.4582,100.0000,2.6066,10.0000,50.0000
44,1.9117,24.8366,86.4924,3.6021,10.9838,47.5645,3.0593,10.0600,50.0000
48,1.9783,23.2625,88.1274,3.0653,20.0644,39.8069,2.9723,10.0000,50.0000
52,2.0795,21.0117,78.4047,3.2199,7.2976,44.5838,2.9858,10.0000,50.0000
56,2.1996,26.9415,90.6040,3.7369,7.4306,21.7547,3.3220,10.0000,50.0000
60,2.7570,31.9606,82.7216,3.0826,28.1040,56.9631,3.5774,10.0000,50.0000
64,2.2066,43.3884,89.2562,4.7301,26.8059,45.2567,4.1388,10.0000,50.0000
68,2.8690,35.1077,73.3840,4.3594,9.5703,39.6484,3.7795,10.0000,50.7300
72,2.8415,43.7376,85.0895,5.5272,20.9945,35.8011,5.0502,10.0000,50.0100
76,2.4494,33.5358,90.1580,3.8307,20.7231,45.0617,3.5905,10.0000,50.0000
80,2.3797,36.9610,90.3491,4.1493,9.5006,43.4836,3.7973,10.0000,50.0000
84,1.9287,32.4973,96.2923,3.5420,9.6639,65.5462,4.0619,10.0300,50.0000
88,1.8677,28.2524,88.8350,3.5092,19.2350,58.1421,3.8808,10.0000,50.0000
92,1.9205,30.0221,100.0000,3.9950,15.1616,47.6031,3.6444,10.0000,50.0000
96,1.9024,27.0874,94.2718,3.9315,8.4449,40.4737,3.5032,10.0000,50.0000
100,1.9737,35.6250,100.0000,3.3618,21.3099,47.8983,3.4364,10.0000,50.0000
104,2.2088,24.7312,76.6667,3.1397,14.5192,34.9038,2.9320,10.0000,50.0000
108,2.2816,33.4746,86.1229,3.3014,20.7407,56.7901,3.4393,10.0000,50.0000
112,2.3590,25.2197,78.7346,3.1263,0.0000,66.3540,2.9452,10.0000,52.0600
116,1.8369,26.7589,100.0000,3.5040,0.0000,40.7637,3.4221,10.0000,50.0000
120,2.1136,22.3799,88.4279,2.7074,5.2351,77.1074,2.9711,10.0000,50.0000
124,2.1524,41.5957,89.3617,3.7314,10.2516,56.4772,3.5103,10.0000,50.0000
128,2.4638,37.4872,82.1246,5.2520,0.0000,39.1615,4.2644,10.0000,50.1500
132,2.2444,24.9750,70.5295,3.2860,0.0000,40.2791,2.8945,10.0000,50.0000
136,1.9450,30.9776,88.2214,3.5812,0.0000,39.3654,3.4795,10.0000,50.0000
140,2.2054,17.1271,76.5193,2.7534,5.6430,53.6745,2.6641,10.0000,50.9900
144,2.3854,37.0829,87.5119,5.0817,12.2060,28.4434,4.1112,10.0000,50.0000
148,2.3114,39.1489,72.6241,5.0971,9.2428,29.5100,4.4034,10.0000,50.0000
152,2.4729,28.6742,70.0925,4.1955,7.7434,17.6991,3.2277,10.0000,50.2000
156,1.8634,25.2915,91.8386,3.0044,15.9881,72.5919,3.0347,10.0000,50.0000
160,2.5559,23.3333,71.0811,3.2154,0.0000,70.4188,3.4014,10.0000,50.0000
164,2.0573,30.6897,89.6552,3.3456,7.3446,68.4557,3.5186,10.0000,50.0000
168,2.0139,31.8737,87.3727,4.6047,31.2815,35.6206,3.5404,10.0000,50.0000
172,1.9413,25.2505,90.4810,4.4802,0.0000,52.2344,3.5517,10.0000,50.0000
176,2.5805,35.3368,91.1917,4.1274,9.8672,67.7419,4.1517,10.0000,50.0000
180,2.0728,20.6780,72.4294,3.1253,8.0247,53.3333,2.8394,10.0000,50.0000
184,1.8971,20.5543,90.0693,2.9476,0.0000,69.7524,2.8896,10.0000,50.0000
188,1.9505,36.7975,87.6988,5.1639,23.1665,23.1665,3.9314,10.0000,50.0000
192,2.3797,25.8333,75.2083,3.6157,0.0000,45.9067,3.1492,10.0000,52.9100
196,2.2331,20.8705,80.6920,4.2505,0.0000,44.7699,3.3434,10.3900,50.0000
200,2.1717,21.7765,76.8863,3.1382,9.5672,40.3189,2.9877,10.0000,50.0000
204,2.0331,19.5171,82.6962,2.9410,7.6774,40.0389,2.6250,10.0000,50.0000
208,2.0217,27.5964,91.9881,3.6450,0.0000,34.5521,3.2330,10.0000,50.0000
212,1.9396,19.3124,82.5076,2.7614,11.3125,44.9601,2.6965,10.0000,50.3600
216,1.5933,32.3647,100.0000,2.8987,20.0212,71.8220,3.4423,10.0000,50.0000
220,2.1204,31.1330,93.0049,3.3526,5.6269,80.6515,3.8465,10.0000,50.0000
224,2.0808,28.2655,88.4368,3.1371,11.7916,72.4863,3.2722,10.0000,50.0000
228,2.2158,24.4087,92.0530,4.0476,0.0000,38.1616,3.3369,10.0000,50.0000
232,2.1132,27.1691,86.8536,4.4159,0.0000,34.8624,3.6641,10.0000,50.0000
236,2.1070,47.0522,100.0000,3.9963,26.5306,59.2857,4.5580,10.0000,51.5400
240,2.2115,30.1020,72.6531,3.0352,0.0000,46.3262,2.8355,10.0000,50.0000
244,2.1852,18.5153,78.4279,3.4821,11.9718,20.5231,2.8015,10.0000,50.0000
248,2.1327,24.1445,89.0684,3.4994,9.5890,64.3836,3.2885,10.0000,50.0000
252,1.7328,34.3082,100.0000,4.8663,0.0000,37.9058,3.9463,10.0000,50.0000
256,1.9783,20.8428,74.6014,2.6733,8.0208,48.2292,2.7705,10.0000,50.1100
260,2.1888,23.0372,84.0909,2.9223,8.0614,50.1919,2.9250,10.0000,50.0000
264,2.1336,16.5057,80.5970,2.2637,24.6057,69.0852,2.7565,10.0000,50.0000
268,1.8329,40.5847,100.0000,5.1977,0.0000,40.4682,4.0001,10.0000,50.0000
