round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,1.6035,52.6971,96.5975,1.7369,35.5976,95.9587,1.8953,33.6300,86.7300
8,1.1816,62.3428,99.0566,1.4574,45.4386,97.3684,1.3269,54.1300,98.1600
12,1.0006,66.6932,98.9666,1.4430,39.2938,97.0699,1.2102,55.9300,97.9500
16,0.7216,77.0080,99.2972,1.1292,56.9369,98.6486,1.0184,63.1300,98.3800
20,0.9868,74.1744,99.2379,1.1535,57.9304,99.8304,1.0931,65.8800,98.9300
24,0.6159,79.8476,99.9153,0.8023,72.2172,98.8235,0.9084,65.7100,99.3600
28,0.6805,75.4768,99.7275,0.8576,67.6499,99.3340,0.8050,70.7900,99.4200
32,0.5506,80.7752,100.0000,0.8575,67.2880,99.2544,0.7881,70.5800,99.3300
36,0.4950,83.9394,99.7727,0.5957,79.5041,99.2562,0.7355,73.1400,99.4100
40,0.4968,83.7756,99.2418,0.4795,82.6287,99.7243,0.7392,70.8200,99.4900
44,0.5321,83.0666,99.6630,0.6116,80.7048,99.9119,0.7214,73.6000,99.4400
48,0.4161,85.4430,99.9096,0.7616,68.5413,99.3849,0.6475,74.0400,99.5300
52,0.5319,79.1111,99.9111,0.6643,70.6882,99.9150,0.7119,71.3100,99.4700
56,0.7167,71.9603,99.8346,0.6785,76.1745,99.9161,0.6288,78.0900,99.5000
60,0.4509,84.9823,99.9117,0.6955,75.3403,99.2794,0.6296,76.3300,99.3800
64,0.4409,83.1709,100.0000,0.6335,74.0741,99.5974,0.5669,78.2500,99.6000
68,0.4143,84.4669,99.8162,0.7178,68.4420,99.5231,0.5844,76.4100,99.5800
72,0.5236,78.9336,99.4755,0.6112,78.8428,99.6546,0.5800,77.1400,99.5000
76,0.4498,82.4776,100.0000,0.4455,82.5151,99.5693,0.5292,80.0400,99.6500
80,0.4681,82.1918,99.8174,0.4683,83.6803,99.6669,0.5153,80.4300,99.5900
84,0.3912,84.6875,99.8438,0.6214,75.6345,99.5770,0.5844,77.1400,99.6100
88,0.3783,85.5810,100.0000,0.4201,86.0224,99.4823,0.4959,81.1400,99.6100
92,0.3557,87.1345,99.6345,0.5743,77.3096,99.6759,0.5189,80.3800,99.5800
96,0.3229,89.2400,99.6990,0.6686,72.5458,99.7504,0.5356,79.7000,99.7300
100,0.3125,88.9757,99.8264,0.5617,78.8758,99.5467,0.5165,80.5800,99.6200
104,0.5218,78.7879,99.9134,0.6248,71.6102,99.9153,0.5928,73.6100,99.6300
108,0.5251,80.2873,99.8404,0.6265,77.5876,99.6740,0.5105,81.5500,99.6300
112,0.4041,84.7341,99.9142,0.3709,85.5372,99.5868,0.4990,79.7600,99.6200
116,0.3971,84.6556,99.5641,0.5048,80.9181,99.9100,0.4943,81.3700,99.6800
120,0.2887,89.9645,100.0000,0.3694,85.7959,99.6431,0.4725,82.0800,99.7000
124,0.3773,88.5009,99.8296,0.5303,80.1221,99.8256,0.5017,81.7100,99.6800
128,0.3378,87.8151,99.6639,0.4199,84.7636,99.8249,0.4526,83.0300,99.6700
132,0.4218,83.6515,99.7510,0.4196,84.1516,99.8277,0.4648,82.1100,99.6300
136,0.3262,88.1255,99.9152,0.3795,85.5848,99.7529,0.4514,83.0600,99.6900
140,0.3483,88.3072,99.9127,0.5936,77.1406,99.4501,0.5116,81.3300,99.6800
144,0.2815,89.7254,99.9114,0.4480,82.3154,99.5442,0.4563,83.0100,99.6600
148,0.4434,84.6911,99.9105,0.4910,80.9853,99.7407,0.4671,82.3100,99.7500
152,0.3073,89.5914,99.8458,0.4560,82.8291,99.9182,0.4597,82.4000,99.7500
156,0.4549,82.6367,99.7588,0.4674,82.1088,99.9320,0.4471,83.1800,99.7300
160,0.3485,86.4775,99.9165,0.5067,80.7590,99.9117,0.4411,83.6300,99.6400
164,0.2633,90.6602,99.8390,0.4441,83.1283,99.6485,0.5214,80.0100,99.6700
168,0.4041,85.8247,99.9141,0.4402,82.9268,99.7387,0.4344,83.8800,99.6800
172,0.3187,89.2791,100.0000,0.4217,84.1284,99.9133,0.4897,81.5600,99.6800
176,0.2497,90.2929,99.9163,0.4240,83.5650,99.7547,0.4791,81.4500,99.6600
180,0.2626,91.0180,99.7434,0.4011,83.8248,99.6630,0.4442,82.6400,99.7200
184,0.4036,84.1146,99.8264,0.4317,83.3609,99.9172,0.4825,80.5100,99.7500
188,0.3385,87.5829,100.0000,0.3027,88.4921,99.6032,0.4374,83.2500,99.7400
192,0.3301,86.9460,100.0000,0.3625,86.7347,99.7449,0.4141,84.3000,99.7100
196,0.2600,90.2554,99.9054,0.4078,84.2593,99.9158,0.4181,84.0700,99.7000
200,0.2396,91.7027,99.8271,0.4026,84.6032,99.5238,0.4229,85.2800,99.6300
204,0.2653,90.4659,99.7849,0.4843,81.2339,99.7429,0.3962,85.3300,99.6900
208,0.2838,89.2000,99.7600,0.3009,89.3333,99.9111,0.4200,84.1800,99.7200
212,0.3016,88.6288,100.0000,0.5687,76.6917,99.9165,0.4171,84.7800,99.6700
216,0.3809,84.0625,99.8438,0.4639,82.6821,99.9112,0.3955,85.3500,99.7300
220,0.3769,85.2010,99.9145,0.3785,86.4798,99.7527,0.3906,85.9400,99.7400
224,0.3459,87.1471,99.8514,0.3228,87.6106,99.9115,0.4112,84.2100,99.7100
228,0.2205,90.8856,99.9140,0.3138,87.9360,100.0000,0.4158,84.0200,99.7000
232,0.4215,86.0294,100.0000,0.3465,87.6522,99.7391,0.4164,84.5900,99.7100
236,0.2752,89.7109,99.9150,0.3373,87.3291,100.0000,0.4092,84.6300,99.8100
240,0.1841,94.0125,100.0000,0.4044,84.1832,99.8271,0.4114,84.3500,99.7600
244,0.3490,88.1711,100.0000,0.3528,85.9967,99.9176,0.4062,84.3400,99.7300
248,0.2238,92.3994,99.7019,0.3784,85.2776,99.8391,0.4060,84.7600,99.7400
252,0.2796,90.3495,99.8480,0.3078,88.3349,100.0000,0.4010,85.1000,99.6600
256,0.3254,88.8037,99.6933,0.2808,91.3043,99.8501,0.3884,85.7800,99.6800
260,0.4824,81.9355,99.8387,0.2953,89.0800,99.7420,0.3717,86.2300,99.7300
264,0.1886,93.8290,99.9257,0.5849,79.1071,99.7321,0.4483,84.4300,99.6300
268,0.1933,92.6667,100.0000,0.3483,85.5311,99.9084,0.3725,86.0700,99.6900
272,0.2411,90.5565,100.0000,0.4190,83.4928,99.8405,0.4537,83.1000,99.6400
276,0.2883,89.0971,100.0000,0.3245,88.3825,99.9106,0.3567,86.7100,99.7600
280,0.3033,89.2768,99.9169,0.3697,85.1562,100.0000,0.3923,85.1100,99.8000
284,0.3118,88.1154,99.8302,0.2653,90.5161,99.7419,0.3987,84.4800,99.8000
288,0.2865,89.0742,99.8332,0.4597,81.8605,99.9070,0.3856,85.5700,99.6600
292,0.2257,91.4821,100.0000,0.3612,87.3544,99.6672,0.3585,86.8400,99.7200
296,0.2369,91.1636,99.8250,0.2752,90.3644,99.9190,0.3791,86.2000,99.7200
300,0.2025,93.2409,100.0000,0.3218,88.7889,99.6727,0.3658,86.5800,99.6300
304,0.3189,87.9074,99.8285,0.3118,88.0543,99.9095,0.3839,85.7500,99.7500
308,0.3297,88.2399,99.9221,0.4451,84.4940,99.9071,0.3959,85.2800,99.6800
312,0.3044,89.0365,99.9169,0.4668,82.7130,99.8346,0.3882,85.8800,99.7000
316,0.1383,95.2981,100.0000,0.3947,85.1577,100.0000,0.5035,80.1100,99.7400
320,0.2694,90.7812,99.6875,0.2574,90.7216,100.0000,0.3918,85.8100,99.5900
324,0.2481,91.4027,100.0000,0.3753,85.0746,99.8342,0.3833,85.6600,99.7500
328,0.2221,92.1824,100.0000,0.2106,93.0159,99.7619,0.4340,84.6700,99.6100
332,0.2052,93.3502,100.0000,0.3848,86.9309,99.3255,0.4650,84.4800,99.5800
336,0.2150,92.2156,100.0000,0.4640,82.3428,99.9139,0.4220,84.0300,99.7500
340,0.3485,86.7532,99.8268,0.2428,91.0650,100.0000,0.3689,85.9800,99.7500
344,0.3117,88.4030,99.9049,0.3516,86.1711,99.9201,0.4361,82.5300,99.7900
348,0.2887,89.0244,100.0000,0.2281,91.8744,100.0000,0.3475,87.1300,99.7000
352,0.1812,93.1416,99.9263,0.4096,85.7835,99.7577,0.3698,86.5500,99.7200
356,0.2735,90.0232,100.0000,0.2454,91.5663,100.0000,0.3598,86.6900,99.7600
360,0.2357,91.3360,99.8381,0.3318,88.5435,99.7336,0.3453,87.0400,99.7300
364,0.3568,87.1050,100.0000,0.2827,90.0000,99.9145,0.3513,87.0600,99.7600
368,0.3057,88.7213,99.7845,0.1872,93.7912,99.9059,0.3507,86.9200,99.7500
372,0.1948,92.8263,99.8271,0.2733,90.1786,99.7565,0.3532,87.1000,99.6500
376,0.2393,91.3854,99.9112,0.2644,90.5185,100.0000,0.3639,86.2700,99.7100
380,0.2811,88.9296,100.0000,0.3897,86.3359,100.0000,0.3625,86.2400,99.7700
384,0.2713,90.3557,99.9209,0.2750,90.2285,99.7636,0.3592,86.7700,99.7700
388,0.3207,89.1771,99.9106,0.4797,81.8926,100.0000,0.3508,87.1700,99.7600
392,0.2091,93.1444,99.9086,0.3558,86.2563,100.0000,0.3684,86.3900,99.8000
396,0.1486,94.7925,100.0000,0.4164,84.3209,99.9088,0.3571,86.4300,99.7000
400,0.2657,90.6452,99.9194,0.3425,87.2711,99.7384,0.3368,87.4900,99.7300
404,0.2827,89.7502,100.0000,0.2088,92.6325,100.0000,0.3472,86.4800,99.7800
408,0.1823,93.6669,100.0000,0.2794,89.1832,99.8528,0.3393,87.4300,99.7700
412,0.3100,88.1298,100.0000,0.2435,91.3151,100.0000,0.3386,87.6600,99.7300
416,0.2021,92.5164,99.9178,0.4011,85.0294,99.7477,0.3834,85.7700,99.6900
420,0.2671,89.0048,99.9197,0.3339,86.5317,99.7359,0.3403,87.1300,99.7800
424,0.2985,89.7959,99.9184,0.2708,88.4679,99.9176,0.3621,86.0200,99.8000
428,0.2442,91.1512,100.0000,0.3179,87.8967,99.9262,0.3379,87.7700,99.7400
432,0.2857,88.9419,100.0000,0.2810,89.5207,99.9188,0.3432,86.9900,99.7900
436,0.3056,89.7942,99.9177,0.3940,86.1654,99.8496,0.3559,86.2700,99.8300
440,0.2317,91.1667,100.0000,0.3959,84.8903,99.6751,0.3669,85.7900,99.8400
444,0.2067,92.4408,100.0000,0.3333,86.5217,99.9130,0.3438,86.9800,99.7800
448,0.3454,87.4887,100.0000,0.4084,83.7812,99.9040,0.3563,86.7000,99.8100
452,0.2252,91.2568,100.0000,0.2500,90.7504,99.8255,0.3303,87.8900,99.7600
456,0.2662,89.5374,99.9288,0.2959,89.4349,99.8362,0.3320,87.6400,99.7900
460,0.1931,93.1185,100.0000,0.2741,89.5575,99.9115,0.3531,87.0500,99.7100
464,0.1810,93.6719,100.0000,0.1914,93.8068,99.9174,0.3837,85.5100,99.6900
468,0.2369,90.8940,99.9172,0.2518,90.5961,99.9160,0.3580,86.9500,99.7300
472,0.1529,94.4306,99.9169,0.1474,94.7119,100.0000,0.3768,85.4500,99.8100
476,0.2325,91.2409,99.9189,0.1639,94.1774,100.0000,0.3458,87.2700,99.7500
480,0.1780,92.3858,100.0000,0.3341,87.1622,100.0000,0.3702,85.7400,99.8100
484,0.1767,94.0032,99.9190,0.2922,88.7562,100.0000,0.3437,87.6500,99.7000
488,0.3009,87.5421,99.9158,0.2843,88.2852,99.9151,0.3452,87.1400,99.8100
492,0.2257,91.9858,99.9110,0.2138,92.2500,100.0000,0.3362,87.4100,99.7700
496,0.1809,93.2014,99.9139,0.3316,87.1747,100.0000,0.3909,84.7900,99.8500
500,0.2359,91.3495,99.9135,0.3006,88.9435,99.9181,0.3552,86.7400,99.7900
504,0.2554,90.9794,100.0000,0.3890,84.1454,99.7680,0.3586,86.3700,99.8200
508,0.1425,94.8427,99.9126,0.3852,85.4222,100.0000,0.3836,85.6500,99.7700
512,0.2259,91.6472,100.0000,0.2936,88.8790,99.8221,0.3376,87.2500,99.7700
516,0.2398,90.1396,100.0000,0.2388,90.9489,100.0000,0.3471,87.0100,99.7600
520,0.2132,91.6813,99.9124,0.1779,93.6100,99.9170,0.3222,88.0500,99.7800
524,0.2284,92.3077,100.0000,0.2961,89.4302,100.0000,0.3374,87.2500,99.7900
528,0.1883,93.6007,99.7440,0.3129,88.2407,99.9088,0.3305,87.7600,99.7800
532,0.2421,90.6647,99.7013,0.2055,92.2487,99.9148,0.3163,88.1000,99.8000
536,0.1681,94.2551,100.0000,0.3308,86.8932,99.9191,0.3366,87.7600,99.7700
540,0.1626,94.5701,100.0000,0.1861,93.9677,100.0000,0.3202,88.1000,99.7300
544,0.2308,90.2896,100.0000,0.3937,85.2713,99.9225,0.3524,87.0700,99.7300
548,0.1774,93.4887,100.0000,0.2702,89.5851,99.9153,0.3281,87.8900,99.8300
552,0.2430,91.8095,99.9048,0.2392,90.9333,100.0000,0.3934,85.9500,99.7100
556,0.3007,88.1533,100.0000,0.2643,90.2655,100.0000,0.3347,87.3500,99.8300
560,0.1922,92.7690,100.0000,0.2931,89.3263,99.9125,0.3238,87.8300,99.7800
564,0.1434,94.6354,99.9162,0.3316,86.9298,100.0000,0.3446,86.8600,99.8100
568,0.3439,87.7493,99.9050,0.2688,89.6458,100.0000,0.3508,86.4700,99.8100
572,0.1392,95.0560,100.0000,0.3211,87.7108,99.8394,0.3294,87.7600,99.8200
576,0.2360,91.0517,100.0000,0.3162,87.8410,99.8441,0.3237,88.1600,99.7500
580,0.1874,93.1034,99.9198,0.3879,86.7806,99.8201,0.3125,88.2000,99.7800
584,0.2627,90.2439,100.0000,0.2793,89.1139,100.0000,0.3111,88.4700,99.7700
588,0.0900,96.8878,100.0000,0.4604,81.7406,99.8294,0.3835,85.8200,99.7900
592,0.1549,94.9725,99.9214,0.4181,83.9434,99.9168,0.3344,87.8300,99.7600
596,0.2114,91.5373,100.0000,0.2069,92.7905,99.9152,0.3034,88.6700,99.7900
600,0.2889,89.2050,100.0000,0.2988,89.1608,100.0000,0.3313,87.4300,99.8100
604,0.2839,89.8377,100.0000,0.3310,86.6719,99.8441,0.3919,84.2900,99.8000
608,0.2957,89.3274,99.8206,0.2655,90.2745,99.9216,0.3107,88.6600,99.8200
612,0.1441,94.5626,100.0000,0.2695,89.3166,99.9214,0.3224,87.8400,99.7900
616,0.2740,89.3309,100.0000,0.3056,88.0417,100.0000,0.3169,87.6900,99.8400
620,0.1917,92.8052,100.0000,0.3270,87.1404,100.0000,0.3756,85.5000,99.7900
624,0.1837,94.1921,99.8511,0.2279,92.2575,99.9185,0.3163,88.4900,99.7800
628,0.2001,92.3187,100.0000,0.2494,91.6226,100.0000,0.3148,88.2300,99.7900
632,0.2169,91.6462,100.0000,0.2657,90.0590,100.0000,0.3016,88.7600,99.7700
636,0.1507,94.9194,100.0000,0.2303,90.4871,99.9239,0.3107,88.4500,99.7700
640,0.1703,93.4401,100.0000,0.2816,89.5987,99.8362,0.2995,89.0100,99.7500
644,0.2061,92.0622,100.0000,0.2634,90.2736,100.0000,0.3258,87.6000,99.8000
648,0.1473,94.9853,100.0000,0.2184,92.1769,99.9150,0.3468,87.4400,99.7500
652,0.2538,91.0321,100.0000,0.1803,93.0023,100.0000,0.3013,88.6800,99.8000
656,0.2298,90.7310,99.9246,0.2056,92.8205,100.0000,0.3171,88.1300,99.7500
660,0.1868,93.2921,99.6904,0.2957,89.8907,100.0000,0.3567,86.3900,99.8000
664,0.2557,91.0899,100.0000,0.2679,89.0423,99.9137,0.3093,88.3400,99.8200
668,0.1605,94.3850,100.0000,0.2298,91.2965,100.0000,0.3634,85.8500,99.8200
672,0.1827,93.1338,99.9120,0.3936,83.8017,100.0000,0.3622,86.3100,99.7800
676,0.2230,90.8607,99.9113,0.1972,92.7020,100.0000,0.3170,88.2800,99.8400
680,0.2328,91.2105,100.0000,0.2513,90.5159,99.9241,0.3199,87.9900,99.8000
684,0.2522,89.9471,100.0000,0.2035,93.0064,100.0000,0.3080,88.4600,99.8500
688,0.1975,93.2922,100.0000,0.2076,91.6248,100.0000,0.3318,87.9200,99.7300
692,0.2816,89.1414,99.8316,0.3215,86.5804,100.0000,0.3829,85.0200,99.8200
696,0.1308,95.7031,100.0000,0.3108,87.3704,100.0000,0.3220,88.0400,99.7300
700,0.2106,92.1824,99.8371,0.2331,92.0608,99.8311,0.3017,88.6800,99.7600
704,0.2476,90.8088,99.9081,0.2340,90.1179,100.0000,0.3180,88.1400,99.8100
708,0.2058,92.5037,100.0000,0.2517,91.0790,100.0000,0.3158,88.1300,99.7500
712,0.2062,92.6743,100.0000,0.2003,92.4270,100.0000,0.3011,88.8000,99.7600
716,0.1919,92.0455,99.8252,0.2475,90.2560,99.9174,0.3106,88.4500,99.7700
720,0.2160,91.9275,99.9176,0.2461,91.4842,99.9189,0.2992,88.9500,99.8200
724,0.2236,91.2698,100.0000,0.2610,88.8021,100.0000,0.3303,87.4100,99.7900
728,0.1727,93.5735,100.0000,0.2282,91.7375,100.0000,0.3093,88.5900,99.8100
732,0.1834,92.8857,100.0000,0.3318,86.3212,99.6602,0.3444,87.0600,99.7700
736,0.1799,94.1842,100.0000,0.3669,86.5198,99.9119,0.2974,89.0000,99.7700
740,0.1866,93.9547,99.9160,0.2685,89.5949,99.9206,0.3346,87.1600,99.8000
744,0.1696,92.5792,100.0000,0.2536,90.2402,99.9249,0.3023,88.8700,99.7300
748,0.1266,96.0956,100.0000,0.3797,86.5745,99.7559,0.3679,87.1100,99.7300
752,0.1617,93.1730,100.0000,0.2294,90.9774,100.0000,0.3140,88.3500,99.7700
756,0.1809,93.4802,100.0000,0.3222,87.7612,99.7761,0.3011,88.7400,99.7900
760,0.1992,92.2414,99.9138,0.3259,87.6617,99.9005,0.2982,89.2200,99.7500
764,0.2474,91.7117,100.0000,0.2776,88.9248,100.0000,0.2911,89.2700,99.8400
768,0.1859,93.2520,99.9187,0.2896,89.8094,99.8343,0.3016,88.8900,99.7700
772,0.1733,93.7318,100.0000,0.2300,91.4591,99.9110,0.3209,88.0300,99.8300
776,0.3031,88.6745,99.8322,0.2174,91.8278,100.0000,0.3078,88.4800,99.7900
780,0.1430,95.1100,100.0000,0.3627,84.4073,99.9204,0.3385,87.4700,99.7800
