round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,1.4728,50.3856,95.5441,2.1131,22.8178,70.9035,2.0829,23.1700,72.9000
8,1.1161,79.3544,98.5736,1.4930,64.6651,84.4496,1.6315,53.9900,83.3700
12,1.2411,61.5012,96.5295,1.9429,38.8968,74.2120,1.4304,58.4800,86.1300
16,1.0952,72.5111,97.9941,0.9120,80.8436,98.2425,1.1325,69.1100,96.9700
20,0.8032,83.1123,98.6737,1.0554,68.1524,95.7861,1.0449,69.9000,96.5100
24,0.9329,75.8671,99.2052,1.1723,64.9047,95.7539,0.9228,75.7500,98.0800
28,0.6757,83.4297,98.8439,0.7829,80.3264,98.6401,0.9036,74.2700,97.3000
32,0.4641,92.4631,99.5338,0.8095,77.2047,98.2529,0.8322,75.0800,98.1600
36,0.4515,90.4671,99.8093,0.4892,89.8214,99.3750,0.8687,70.2200,98.2500
40,0.4907,90.6271,98.8537,0.8043,75.3043,98.9565,0.7104,80.5500,98.8200
44,0.7240,82.3915,98.6077,0.5947,86.3833,98.7752,0.6573,85.0300,98.9400
48,0.4546,89.5724,99.6999,0.6228,84.4206,98.5418,0.6528,83.7100,98.8100
52,0.5718,86.7052,99.0366,0.6179,83.6681,98.8646,0.6422,82.1900,98.8500
56,0.3765,92.5373,99.4732,0.7273,78.8462,98.7458,0.6367,81.8800,98.8100
60,0.4911,88.5833,99.8333,0.5109,86.5272,99.4142,0.5929,84.5000,98.9600
64,0.5212,86.1868,99.1245,0.7018,79.0628,99.4018,0.6042,83.3900,98.9600
68,0.4588,88.6470,99.3779,0.5990,84.5414,99.3343,0.5522,86.7600,99.1000
72,0.4019,89.6217,99.4180,0.5064,87.9668,98.9212,0.5670,85.3300,99.1300
76,0.4675,87.5413,99.1749,0.5013,86.9462,99.0506,0.5602,84.5800,99.1000
80,0.5219,86.8648,99.0412,0.7618,76.9048,98.0952,0.5472,84.7800,99.0100
84,0.4769,88.2605,98.8860,0.5671,86.9085,99.0536,0.5136,86.7800,99.0900
88,0.4617,89.9741,98.7900,0.4573,88.7263,98.7091,0.4982,87.3200,99.1200
92,0.3918,91.5298,99.0493,0.5609,84.8718,99.0598,0.4928,87.5800,99.2300
96,0.3906,90.6511,99.4157,0.4285,88.3285,98.7752,0.5182,85.3100,99.2400
100,0.3969,90.7942,99.7292,0.7560,75.4833,98.8576,0.4935,87.0000,99.1200
104,0.3931,90.8491,99.0566,0.5425,83.9397,98.6690,0.5200,85.0300,99.1200
108,0.4851,87.3366,99.4281,0.5031,84.9213,99.1715,0.4760,87.6200,99.1800
112,0.4112,89.6748,99.6748,0.4854,85.7292,98.7500,0.4845,86.5200,99.0000
116,0.4251,87.6688,99.3699,0.4498,88.4817,99.5512,0.4747,87.3500,99.0400
120,0.4006,90.3409,99.2424,0.4762,88.6020,99.2876,0.4490,88.6400,99.1900
124,0.4615,88.6270,98.9754,0.4402,89.2278,99.7140,0.4477,88.0300,99.2300
128,0.4058,89.1496,99.4135,0.3598,90.1264,99.2101,0.4727,86.3200,99.1000
132,0.4615,87.5661,98.7654,0.3860,89.3502,99.5487,0.4513,87.6200,99.0700
136,0.3629,90.7019,99.6354,0.3984,89.4231,99.6154,0.4349,88.4000,99.2500
140,0.3915,89.2496,99.3506,0.4013,88.9066,99.2019,0.4314,88.7100,99.2400
144,0.3982,89.5547,99.1093,0.3541,90.8154,99.2502,0.4213,89.1300,99.2700
148,0.4072,91.6143,99.2662,0.4591,88.0123,99.6926,0.4220,88.7000,99.1900
152,0.3289,91.4974,99.3980,0.5860,81.2272,99.2695,0.4481,87.3200,99.2100
156,0.3928,91.0196,99.6258,0.5672,81.7587,98.9826,0.4447,87.4500,99.1900
160,0.3951,89.3455,99.4673,0.3263,91.1810,99.2331,0.4132,89.1100,99.2200
164,0.3205,92.1833,99.4609,0.3212,90.9011,99.4700,0.4179,88.9800,99.2300
168,0.3435,91.3854,99.6448,0.5718,84.0839,98.9130,0.4114,89.4400,99.2100
172,0.3846,90.1304,99.5345,0.3670,91.0103,99.4431,0.3988,89.6100,99.2000
176,0.3404,91.0742,99.4471,0.4045,88.8047,99.4949,0.4152,88.6200,99.2400
180,0.3202,92.3378,99.5309,0.4503,87.9552,99.2530,0.4125,88.8300,99.2900
184,0.2015,95.0241,99.8395,0.4244,89.3596,99.0148,0.4220,88.3700,99.2600
188,0.2592,93.4495,99.4425,0.4186,87.9936,99.5165,0.4254,88.2400,99.1800
192,0.3617,90.3846,99.4983,0.2556,93.5000,99.5000,0.4087,88.7300,99.2300
196,0.3259,91.4777,99.2963,0.4494,86.5721,99.5830,0.4033,88.7500,99.2200
