round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,1.3048,69.1154,97.8261,1.7904,47.9037,93.8665,1.9034,36.1300,85.9200
8,1.0904,64.3836,98.1735,1.5403,50.7961,89.3101,1.4008,53.0000,92.7700
12,0.7202,83.1958,97.8995,0.9759,67.4641,96.3317,1.1316,61.4100,95.6300
16,0.7132,76.5246,99.8329,1.3418,51.2842,97.1747,1.1633,56.8800,97.8600
20,0.9054,60.8560,99.4553,1.3251,50.2269,97.6551,1.3746,47.6400,98.0700
24,0.5650,87.5318,99.2366,0.8412,75.7601,98.8496,0.8279,77.7900,98.6500
28,0.4493,90.0095,99.0485,0.6550,82.1767,98.8959,0.6638,80.8700,98.5300
32,0.4193,90.0502,99.5819,0.6572,81.7722,98.2278,0.6036,82.5700,98.6800
36,0.2768,93.0823,99.3870,0.5341,83.6522,98.9565,0.6719,79.1500,98.4200
40,0.5700,83.8332,99.1222,0.9117,70.4528,97.7744,0.6641,79.9700,98.6900
44,0.4730,86.7354,99.3368,0.5180,85.2273,99.3007,0.5385,84.7700,99.0100
48,0.3682,89.9642,99.6416,0.4998,82.5119,99.3641,0.5528,81.4700,99.0200
52,0.3439,91.6051,99.3284,0.7583,71.5302,98.7544,0.5819,81.3500,98.7100
56,0.2209,94.6573,99.8992,0.8951,66.6667,98.0754,0.6031,78.0000,98.8100
60,0.4327,86.3869,99.4882,0.4973,85.9922,98.9105,0.4841,84.6600,99.0400
64,0.3509,91.1041,99.4440,0.5860,83.8323,98.3747,0.4339,88.2200,99.2500
68,0.2670,92.6113,100.0000,0.4502,85.7143,98.9961,0.4584,85.5800,99.2300
72,0.3042,91.5709,99.8084,0.7047,74.7317,98.6341,0.5345,82.8800,99.0900
76,0.2915,91.2281,99.8246,0.4315,86.2573,99.1228,0.5328,81.7500,99.2400
80,0.3330,87.2152,99.7468,0.3744,89.3123,99.6686,0.6330,77.4300,98.8800
84,0.2702,92.6534,99.5720,0.3560,91.3688,99.3025,0.4463,86.8000,99.2600
88,0.3257,89.6272,99.5948,0.3960,86.8462,99.6154,0.4168,87.8700,99.3100
92,0.2882,92.7595,99.5977,0.4038,89.6758,99.4027,0.3837,89.2900,99.3800
96,0.2906,91.7326,99.4723,0.4979,84.2381,99.2152,0.4051,87.4800,99.3300
100,0.3169,90.5923,99.7387,0.4634,83.7476,99.5220,0.4058,87.7500,99.5100
104,0.3354,90.8720,99.4295,0.3333,90.8163,99.8430,0.3635,89.5700,99.3900
108,0.2476,93.6249,99.7776,0.3150,91.4795,99.2254,0.3878,87.8700,99.3700
112,0.2300,94.3450,99.6230,0.4028,87.7424,99.4569,0.3876,87.9700,99.4300
116,0.3153,90.0547,99.6350,0.3185,90.9644,99.5656,0.3665,88.9300,99.3500
120,0.2167,93.5788,99.7432,0.4921,83.6275,99.6078,0.4403,85.6900,99.2700
124,0.3228,90.0505,99.4232,0.3015,91.0103,99.7613,0.3479,90.3600,99.5100
128,0.3266,89.6780,99.7523,0.3082,89.9702,99.6028,0.3520,89.5300,99.5200
132,0.2036,93.4394,99.8675,0.3488,89.5692,99.6221,0.3514,89.9800,99.4800
136,0.2616,91.3891,99.7563,0.2918,91.2281,99.5614,0.3864,87.3600,99.4800
140,0.1695,94.9914,99.5682,0.2447,92.6929,99.9179,0.3586,88.1800,99.5200
144,0.2301,93.4272,99.8435,0.3406,90.0675,99.6143,0.3432,89.8200,99.4900
