round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,2.2975,14.3124,58.2788,2.2978,10.2296,54.2797,2.3027,10.8700,49.7400
8,2.3022,12.6461,52.1785,2.2995,9.2369,53.6145,2.3020,13.2500,51.6500
12,2.2843,19.2982,65.2047,2.3017,9.9379,56.7879,2.3007,13.0800,51.5700
16,2.3245,5.6093,21.5667,2.2956,15.2731,50.1672,2.3000,13.4500,52.2100
20,2.3031,8.4337,52.3092,2.2954,6.3786,57.6132,2.2984,11.2400,53.1700
24,2.3000,9.5000,49.8000,2.2948,10.4126,58.5462,2.2959,10.0000,57.0100
28,2.2797,23.3918,55.4581,2.3031,6.1616,46.9697,2.2938,11.5000,52.8600
32,2.2848,10.7772,62.4870,2.3365,6.3181,40.1961,2.3006,10.0000,51.5500
36,2.1621,16.8912,72.9534,2.4491,5.8625,44.4194,2.3989,11.5600,50.0000
40,2.2811,14.0250,60.1345,2.4103,14.6543,46.2332,2.3738,10.0200,50.0000
44,2.0904,19.0476,69.8052,2.2218,9.4378,60.4418,2.4128,11.1300,50.0000
48,2.1251,26.3298,74.5567,2.6581,10.7824,39.4084,2.4514,12.0100,50.0000
52,2.0204,30.8594,75.2930,2.9002,3.7815,29.9370,2.5091,14.4500,51.3900
56,2.1430,18.5115,71.6603,2.4500,14.4456,45.4730,2.3707,9.1600,50.4200
60,2.1926,24.1415,67.9501,2.3919,11.6279,58.5825,2.3559,13.5400,50.7600
64,2.0971,23.7513,76.2487,2.4425,19.4792,49.3750,2.5010,9.9900,50.0000
68,1.9732,20.4807,83.9080,2.2844,4.9348,66.8529,2.5447,9.9700,51.1500
72,2.1981,19.2022,64.1929,2.0803,38.3080,75.0951,2.3277,12.6800,53.5600
76,2.1621,22.5269,70.9109,2.4670,6.4990,50.2096,2.4110,11.9000,56.0200
80,1.9817,28.0876,84.1633,2.4455,6.7227,57.6097,2.4125,14.8600,50.4400
84,1.9804,29.7894,84.9549,2.5622,9.2827,54.1139,2.4890,10.0000,53.9900
88,1.9778,30.6100,78.2135,2.6435,5.8242,51.8681,2.4959,11.3500,57.2000
